2017,SD CHAPTER OF ASHRAE,KASEY ABBOTT,0
2015,GENTRY FINANCE,PAUL BACHAND,0
2015,SOUTH DAKOTA ACADEMY OF PHYSICIAN ASSISTANTS,PAUL BACHAND,0
2015,SOUTH DAKOTA STATE'S ATTORNEYS ASSOCIATION,PAUL BACHAND,0
2015,SOUTH DAKOTA YMCA OF THE U.S.A ALLIANCE ,PAUL BACHAND,0
2015,GENTRY FINANCE,PAUL BACHAND,40.00
2015,GENTRY FINANCE,PAUL BACHAND,40.00
2015,SOUTH DAKOTA ACADEMY OF PHYSICIAN ASSISTANTS,PAUL BACHAND,40.00
2015,SOUTH DAKOTA ACADEMY OF PHYSICIAN ASSISTANTS,PAUL BACHAND,40.00
2015,SOUTH DAKOTA STATE'S ATTORNEYS ASSOCIATION,PAUL BACHAND,40.00
2015,SOUTH DAKOTA STATE'S ATTORNEYS ASSOCIATION,PAUL BACHAND,40.00
2015,SOUTH DAKOTA YMCA OF THE U.S.A ALLIANCE ,PAUL BACHAND,40.00
2015,SOUTH DAKOTA YMCA OF THE U.S.A ALLIANCE ,PAUL BACHAND,40.00
2015,GENTRY FINANCE,PAUL BACHAND,0
2015,SOUTH DAKOTA ACADEMY OF PHYSICIAN ASSISTANTS,PAUL BACHAND,0
2015,SOUTH DAKOTA STATE'S ATTORNEYS ASSOCIATION,PAUL BACHAND,0
2015,SOUTH DAKOTA YMCA OF THE U.S.A ALLIANCE ,PAUL BACHAND,0
2015,GENTRY FINANCE,PAUL BACHAND,40.00
2015,GENTRY FINANCE,PAUL BACHAND,40.00
2015,SOUTH DAKOTA ACADEMY OF PHYSICIAN ASSISTANTS,PAUL BACHAND,40.00
2015,SOUTH DAKOTA ACADEMY OF PHYSICIAN ASSISTANTS,PAUL BACHAND,40.00
2015,SOUTH DAKOTA STATE'S ATTORNEYS ASSOCIATION,PAUL BACHAND,40.00
2015,SOUTH DAKOTA STATE'S ATTORNEYS ASSOCIATION,PAUL BACHAND,40.00
2015,SOUTH DAKOTA YMCA OF THE U.S.A ALLIANCE ,PAUL BACHAND,40.00
2015,SOUTH DAKOTA YMCA OF THE U.S.A ALLIANCE ,PAUL BACHAND,40.00
2014,GENTRY FINANCE,PAUL BACHAND,0
2014,SOUTH DAKOTA DENTAL HYGIENISTS' ASSOCIATION,PAUL BACHAND,0
2014,SOUTH DAKOTA STATE'S ATTORNEYS ASSOCIATION,PAUL BACHAND,0
2014,SOUTH DAKOTA YMCA OF THE U.S.A ALLIANCE ,PAUL BACHAND,0
2014,GENTRY FINANCE,PAUL BACHAND,40.00
2014,SOUTH DAKOTA DENTAL HYGIENISTS' ASSOCIATION,PAUL BACHAND,40.00
