State,StateAbbr,Year,Client,Amount,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Iowa,IA,2010,3 Click Solutions/Sandlot,6000,Charles W. Hutchins & Assoc.,Susan Cameron,Jennifer Kingland,,,,,,,,,
Iowa,IA,2010,3M Company,10575,Daniel B. Garry,,,,,,,,,,,
Iowa,IA,2010,3M Corporation,24000,R. Scott Weiser,,,,,,,,,,,
Iowa,IA,2010,3M Traffice Safety Systems Division,5000,R. Scott Weiser,,,,,,,,,,,
Iowa,IA,2010,AARP IA,17205.16,Anthony Carroll,Bruce Koeppl,Campbell/Patterson Consulting,Amy Campbell,Craig Patterson,,,,,,,
Iowa,IA,2010,ABATE of IA,12000,Mark Maxwell,,,,,,,,,,,
Iowa,IA,2010,ABM,0,"Eide & Heisinger, LLC",Matt Eide,John Pederson,Ted Stopulous,,,,,,,,
Iowa,IA,2010,Accountants Assn. of IA,14002,George Appleby,Jim Carney,Jennifer Tyler,"Carney, Appleby and Tyler",,,,,,,,
Iowa,IA,2010,Advocates for School Choice,16000,Eide & Heisinger,Matt Eide,John Pederson,Melissa Peterson,,,,,,,,
Iowa,IA,2010,AFLAC,14400,Wasker Dorr Wimmer Marcouiller,Craig Schoenfeld,Charles F Wasker,William Wimmer,,,,,,,,
Iowa,IA,2010,AFSCME IA Council 61,75014,Marcia Nichols,Melissa Peterson,Mitchell Stille,Sheri Carnahan,Richard Feller,,,,,,,
Iowa,IA,2010,Aging Resources of Central IA,2539.5,Davis Brown Law Firm,(Stephen W. Roberts),(Michelle Lickteig),,,,,,,,,
Iowa,IA,2010,Agribusiness Assn. of IA,20000,"Brown, Winick, Graves",Marc Beltrame,Adam Gregg,,,,,,,,,
Iowa,IA,2010,Agribusiness Assn. of IA,19999.92,L&L Murphy Consulting,Larry Murphy,,,,,,,,,,
Iowa,IA,2010,Agribusiness Assn. of IA,15000,"Fitzgerald, Joyces and Assoc.",Jerry Fitzgerald,Mark Joyce,Maggie Fitzgerald,Mark Reisinger,,,,,,,
Iowa,IA,2010,Ahlers Law Firm,15000,J.A.Smith Law,Larry Pope,Julie Smith,,,,,,,,,
Iowa,IA,2010,AIG - American International Companies State Relations Group,20464.43,Nyemaster Goode P.C.,Keith Luchtel,James West,Paula Dierenfeld,Scott Sundstrom,Brad Epperly,,,,,,
Iowa,IA,2010,Airport Firefighters,1000,LaVerne Schroeder,,,,,,,,,,,
Iowa,IA,2010,ALCOA,12000,"Eide & Heisinger, LLC",Matt Eide,John Pederson,Ted Stopulos,,,,,,,,
Iowa,IA,2010,Alegent Health,3000,Jeanne McClure,,,,,,,,,,,
Iowa,IA,2010,Allergan Inc.,0,Feltner & Heller Law Firm,Paula Feltner (Term 12/31/09),Mike Heller (Term 12/31/09),,,,,,,,,
Iowa,IA,2010,Alliance for Fair Competition (AFC),7500,"Fitzgerald, Joyce, and Assoc",Jerry Fitzgerald,Mark Joyce,Maggie Fitzgerald,,,,,,,,
Iowa,IA,2010,Alliance for Retired Americans,0,Midge Slater,,,,,,,,,,,
Iowa,IA,2010,Alliance of Automobile Manufacturers,27500.04,Hultman Company,,,,,,,,,,,
Iowa,IA,2010,"Alliance Pipeline, Inc.",44552,Brian Johnson,JoAnn Johnson,,,,,,,,,,
Iowa,IA,2010,Alliant Energy Corporation,12890.61,Terry Harrmann,Tom Aller,,,,,,,,,,
Iowa,IA,2010,"Allied Charities of Iowa, LLC",0,L&L Murphy Consulting,,,,,,,,,,,
Iowa,IA,2010,Allied Insurance,22704,Brown Winick Graves Gross,Adam Gregg,Marc Beltrame,,,,,,,,,
Iowa,IA,2010,Alter Trading Corporation,1375,Curtis E. Beason,Robert Ellis,Eide & Heisinger LLC,Matt Eide,John Pederson,Melissa Peterson,Ted Stopulos,,,,,
Iowa,IA,2010,Altria Client Services Inc. and its Affiliates,94291.08,David Scott,Hultman Company,#NAME?,-Mike Triplett (2009),Crawford & Quilty Law Firm,#NAME?,#NAME?,Garth Alston,,,,
Iowa,IA,2010,Alzheimers Assn. East Central IA Chapter,0,Kelly Hauer,,,,,,,,,,,
