State,StateAbbr,Year,Client,Amount,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Iowa,IA,2013,3M Company,8968.0,Daniel B. Garry,,,,,,,,,,,
Iowa,IA,2013,American Cancer Society Cancer Action Network,25050.0,Jen Schulte,John McCalley,Cassandra Furlong,Policy Works,John Cacciatore,Mary Earnhardt,John Murphy,Justin Hupfer,,,,
Iowa,IA,2013,Amco Insurance Company,0.0,Kay Godfredsen,,,,,,,,,,,
Iowa,IA,2013,American Civil Liberties Union of IA (ACLU-IA),25607.5,Rita Bettis,Ben Stone,Oetken NOT a lobbyist for us.,,,,,,,,,
Iowa,IA,2013,American Chemisty Council,2886.33,John Easter,,,,,,,,,,,
Iowa,IA,2013,Alzheimers Assn. Great IA Chapter,16500.0,Campbell/Patterson Consulting,Amy Campbell,Craig Patterson,,,,,,,,,
Iowa,IA,2013,Alzheimers Assn. Midlands Chapter,750.0,Clayton Freeman,,,,,,,,,,,
Iowa,IA,2013,Alzheimers Assn. East Central IA Chapter,0.0,Campbell/Patterson Consulting,Amy Campbell,Craig Patterson,,,,,,,,,
Iowa,IA,2013,Altria Client Services Inc. and its Affiliates,158418.0,Calvin Hultman,Crawford Law Firm,#NAME?,#NAME?,David Scott,Richard Schwarm,Garth Alston,,,,,
Iowa,IA,2013,Alter Trading Corporation,1312.5,"Eide & Heisinger, LLC",Matt Eide,John Pederson,,,,,,,,,
Iowa,IA,2013,Alter Trading Corporation,1800.0,Curtis E Beason,Bob Ellis,,,,,,,,,,
Iowa,IA,2013,Allied Insurance,25000.0,Brown Winick Graves Gross,Marc Beltrame,Matthew McKinney,,,,,,,,,
Iowa,IA,2013,Alliant Energy Corporation,13353.56,Terry Harrmann,Tom Aller,,,,,,,,,,
Iowa,IA,2013,"Alliance Pipeline, Inc.",28843.0,Capitol Consultants Inc,Brian Johnson,Jamie Cashman,,,,,,,,,
Iowa,IA,2013,"Alliance Pipeline, Inc.",43445.0,Capitol Consultants Inc,Brian Johnson,Jamie Cashman,,,,,,,,,
Iowa,IA,2013,Alliance of Automobile Manufacturers,27096.04,Hultman Company,Cal Hultman,Michael Triplett,,,,,,,,,
Iowa,IA,2013,Youth Homes of Mid-America,13500.0,Nyemaster Goode,Paula Dierenfeld,Scott Sundstrom,Brad Epperly,,,,,,,,
