State,StateAbbr,Year,Client,Amount,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Iowa,IA,2016,"3M Company, formerly 3M Traffic, Safety, Security",26000.0,"Capitol Strategies Group, Inc.",R. Scott Weiser,Casey Ficek,,,,,,,,,
Iowa,IA,2016,American Society for the Prevention of Cruelty to Animals (ASPCA),0.0,None,,,,,,,,,,,
Iowa,IA,2016,American Red Cross- Central Iowa Chapter,7500.0,Davis Brown Law Firm,Thomas Stanberry,Katherine Carlucci,Julie Smith,Timothy Coonan,,,,,,,
Iowa,IA,2016,"American Music Therapy Association, Iowa Chapter",1000.0,James Obradovich,Peter McRoberts,Robert Bob Mulqueen,,,,,,,,,
Iowa,IA,2016,American Promotional Events,10000.0,Christopher Rants,,,,,,,,,,,
Iowa,IA,2016,American Planning Association Iowa Chapter,0.0,Dylan Mullenix,Ben Champ,,,,,,,,,,
Iowa,IA,2016,American Petroleum Institute,35000.0,David Scott,,,,,,,,,,,
Iowa,IA,2016,American Legion of Iowa,7531.0,Advocacy Strategies,Threase Harms,Dane Schumann,Emily Hockins,Kent Hartwig,,,,,,,
Iowa,IA,2016,American Legion of Iowa,7531.0,Advocacy Strategies,Threase Harms,Dane Schumann,Emily Hockins,Kent Hartwig,,,,,,,
Iowa,IA,2016,American Insurance Association,13500.0,Nyemaster Goode,Brad Epperly,Scott Sundstrom,Paula Dierenfeld,,,,,,,,
Iowa,IA,2016,American Heart Association,18333.26,Policyworks,,,,,,,,,,,
Iowa,IA,2016,American Express Company,30000.0,BrownWinick,Marc Beltrame,Matt McKinney,RG Schwarm,,,,,,,,
Iowa,IA,2016,American Diabetes Association,0.0,Gary Dougherty,,,,,,,,,,,
Iowa,IA,2016,American Council of Engineering Companies,50000.0,David Scott,,,,,,,,,,,
Iowa,IA,2016,American Civil Liberties Union of Iowa (ACLU-IA),40203.05,Pete McRoberts,Rita Bettis,Erica Johnson,Jeremy Rosen,Dane Schumann,Robert Mulqueen,James Obradovich,"Capitol Group, LC",,,,
Iowa,IA,2016,American Chemisty Council,1815.56,John Easter,,,,,,,,,,,
Iowa,IA,2016,Zenefits Insurance Services,10000.0,Cornerstone Government Affairs,David Adelman,Matt Hinch,Frank Chiodo,,,,,,,,
Iowa,IA,2016,Youth Homes of Mid-America,13500.0,Nyemaster Goode,Paula Dierenfeld,Brad Epperly,Scott Sundstrom,,,,,,,,
Iowa,IA,2016,"Young Mens Christian Association of Greater Des Moines, Iowa",1189.0,Davis Brown Law Firm,Katherine Carlucci,Thomas Stanberry,Julie Smith,Timothy Coonan,,,,,,,
Iowa,IA,2016,YMCA State Alliance,15871.0,Advocacy Strategies,Threase Harms,Dane Schumann,Emily Hockins,,,,,,,,
Iowa,IA,2016,YMCA State Alliance,15871.0,Advocacy Strategies,Threase Harms,Dane Schumann,Emily Hockins,Kent Hartwig,,,,,,,
Iowa,IA,2016,"Xerox Business Service, LLC and its Affiliates",12000.0,Cornerstone Government Affairs,David Adelman,Matt Hinch,Frank Chiodo,,,,,,,,
Iowa,IA,2016,Workday,65833.0,PolicyWorks,John Cacciatore,Lon Anderson,,,,,,,,,
Iowa,IA,2016,Winterset Municipal Utilities,0.0,Policy Works,,,,,,,,,,,
Iowa,IA,2016,Windstream Communications Corporation,25666.63,"Capitol Strategies Group, Inc.",,,,,,,,,,,
Iowa,IA,2016,Wind on the Wires,4320.0,Capitol Edge,Mike St. Clair,Thomas Fey,,,,,,,,,
Iowa,IA,2016,Wild Rose Jefferson LLC,2854.66,LS2group,Iowa Gaming Association,,,,,,,,,,
Iowa,IA,2016,"Wild Rose Entertainment, LLC",24000.0,LS2group,F. Richard Thorton,,,,,,,,,,
Iowa,IA,2016,Wild Rose Emmetsburg LLC,3205.78,LS2group,Iowa Gaming Association,,,,,,,,,,
Iowa,IA,2016,Wild Rose Clinton LLC,0.0,LS2group,Iowa Gaming Association,,,,,,,,,,
Iowa,IA,2016,Western Iowa Tech Community College,20973.0,Dr. Terry Murrell,Steve Warndstadt,IACCT (Iowa Assn of Comm,College Trustees,,,,,,,,
Iowa,IA,2016,Wells Fargo,33500.0,Carney Appleby Law Firm,Jim Carney,Doug Struyk,Jennifer Tyler,George Appleby,Shannon Henson,Scott Fontenot,,,,,
Iowa,IA,2016,"Wells Enterprises, Inc. and WEI Sales, LLC",9000.0,Lesley Bartholomew,,,,,,,,,,,
Iowa,IA,2016,"Wellmark, Inc.",79719.0,Frank J. Stork,,,,,,,,,,,
Iowa,IA,2016,WellCare Health Plans,84000.0,Lauralie Rubel,inSight Communications,Christopher Rants,J.A. Smith Law,Julie Smith,,,,,,,
Iowa,IA,2016,Weitz Company,27000.0,LS2group,Jeffrey Boeyink,Susan Fenton,Mark Joyce,,,,,,,,
Iowa,IA,2016,"Weinberg Investments, Inc.",2500.0,Matt Eide,John Pederson,Kelly Nuckolls,,,,,,,,,
Iowa,IA,2016,"Waste Management, Inc.",40000.0,Paula Feltner,Mike Heller,,,,,,,,,,
Iowa,IA,2016,Walgreen Co.,18000.0,Karen Sisson,,,,,,,,,,,
Iowa,IA,2016,"Wal-Mart Stores, Inc.",37912.73,Sandra Jacques,Ryan Irsik,,,,,,,,,,
Iowa,IA,2016,Visiting Nurse Services of Iowa,6031.0,Advocacy Strategies,Threase Harms,Dane Schumann,Emily Hockins,Kent Hartwig,,,,,,,
Iowa,IA,2016,Visiting Nurse Services of Iowa,6031.0,Advocacy Strategies,Threase Harms,Dane Schumann,Emily Hockins,Kent Hartwig,,,,,,,
Iowa,IA,2016,VGM Group Inc.,0.0,Tom Powers  VGM Group,,,,,,,,,,,
Iowa,IA,2016,Veterans National Recovery Center,200.0,Robert Beeston,,,,,,,,,,,
Iowa,IA,2016,Verus Financial,45000.0,Christopher Rants,,,,,,,,,,,
Iowa,IA,2016,Vertex Pharmaceuticals Incorporated,56781.33,Nyemaster Law,Paula Dierenfeld,Scott Sundstrom,Brad Epperly,Raferty Group,Bob Rafferty,,,,,,
Iowa,IA,2016,Verizon Corporation and Affiliated Companies,24000.0,Matt Eide,John Pederson,Kelly Nuckolls,,,,,,,,,
Iowa,IA,2016,Veridus LLC representing Recovery Audit Specialists LLC,0.0,Triplett Enteprises Ltd.,- Michael Triplett,,,,,,,,,,
Iowa,IA,2016,Veridian Credit Union,45000.0,Michael Harvey,,,,,,,,,,,
