State,StateAbbr,Year,Client,Amount,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Iowa,IA,2015,3M Company,26000.0,Scott Weiser,,,,,,,,,,,
Iowa,IA,2015,American Express Company,15000.0,Brown Winick/Marc Beltrame,F. Richard Thornton,,,,,,,,,,
Iowa,IA,2015,American Council of Engineering Companies,60000.0,David Scott,,,,,,,,,,,
Iowa,IA,2015,American Insurance Assn.,13500.0,Nyemaster Goode,Brad Epperly,Scott Sundstrom,Paula Dierenfeld,,,,,,,,
Iowa,IA,2015,"American Forest & Paper Assn., Inc.",3750.0,Brian Johnson,,,,,,,,,,,
Iowa,IA,2015,American Legion of IA,7531.0,Advocacy Strategies,Threase Harms,Kent Hartwig,Jake Oeth,,,,,,,,
Iowa,IA,2015,American Heart Assn.,20000.0,Policyworks LLC,John Cacciatore,Lon Anderson,Jon Murphy,Justin Hupfer,,,,,,,
Iowa,IA,2015,American Diabetes Assn.,0.0,Gary Dougherty,,,,,,,,,,,
Iowa,IA,2015,American Civil Liberties Union of IA (ACLU-IA),68700.0,Capitol Group,Robert Mulqueen,Peter McRoberts,James Obradovich,Rita Bettis,Erica Johnson,Andrew Duffelmeyer,,,,,
Iowa,IA,2015,American Chemisty Council,1007.39,John Easter,,,,,,,,,,,
Iowa,IA,2015,American Cancer Society Cancer Action Network (ACS CAN),50500.0,Jennifer Schulte,Danielle Oswald Thole,Carney & Appleby Law,Doug Struyk,Jim Carney,George Appleby,Jennifer Tyler,,,,,
Iowa,IA,2015,Amazon.com,25000.0,inSight Communications,Christopher Rants,,,,,,,,,,
Iowa,IA,2015,"Alzheimers Assn., Iowa Chapter Network",17496.0,Campbell/Patterson Consulting,Amy Campbell,Craig Patterson,,,,,,,,,
Iowa,IA,2015,Alzheimers Assn. Nebraska Chapter,0.0,None,,,,,,,,,,,
Iowa,IA,2015,Altria Client Services LLC and its Affiliates,186478.65,Crawford Law Firm,#NAME?,#NAME?,David Scott,Richard Schwarm,Jeffrey Boeyink,Garth Alston,,,,,
Iowa,IA,2015,Alter Trading Corporation,0.0,"Eide & Heisinger, LLC",Matt Eide,John Pederson,Laura Book,,,,,,,,
Iowa,IA,2015,Youth Homes of Mid-America,13500.0,Nyemaster Goode,Brad Epperly,Scott Sundstrom,Paula Dierenfeld,,,,,,,,
Iowa,IA,2015,"Young Mens Christian Assn. of Greater Des Moines, IA",2727.0,Davis Brown Law Firm,Thomas Stanberry,Katherine Carlucci,,,,,,,,,
Iowa,IA,2015,YMCA State Alliance,16461.43,Advocacy Strategies,,,,,,,,,,,
Iowa,IA,2015,"Xerox Business Service, LLC and its Affiliates",30000.0,Cornerstone Government Affairs,David Adelman,Frank Chiodo,,,,,,,,,
Iowa,IA,2015,World Peace Organization for the One World Government,0.0,none,,,,,,,,,,,
Iowa,IA,2015,Workday,60000.0,PolicyWorks,John Cacciatore,Lon Anderson,,,,,,,,,
Iowa,IA,2015,Winterset Municipal Utilities,0.0,None,,,,,,,,,,,
Iowa,IA,2015,Windstream Communications Corporation,12208.31,Scott Weiser,,,,,,,,,,,
Iowa,IA,2015,"Wild Rose Entertainment, LLC",0.0,F. Thorton,LS2Group,Susan Fenton,Jeff Boeyink,Charlotte Eby,,,,,,,
Iowa,IA,2015,Wild Rose Emmetsburg LLC,0.0,F. Thorton,Susan Fenton,Jeff Boeyink,Charlotte Eby,,,,,,,,
Iowa,IA,2015,Wild Rose Clinton LLC,0.0,F. Thorton,Susan Fenton,Jeff Boeyink,Charlotte Eby,,,,,,,,
Iowa,IA,2015,Western IA Tech Community College,20608.0,Dr. Terry Murrell,Steve Warndstadt,IACCT (Iowa Assn of Comm,College Trustees,,,,,,,,
Iowa,IA,2015,Wells Fargo,33250.0,Carney Appleby Firm,Jim Carney,Doug Struyk,Jennifer Tyler,George Appleby,Scott Fontenot,,,,,,
Iowa,IA,2015,"Wells Enterprises, Inc. and WEI Sales, LLC",13500.0,Elizabeth Croston - Wells Emp,Lesley Bartholemew - Wells Emp,,,,,,,,,,
Iowa,IA,2015,"Wellmark, Inc.",87742.0,Frank J. Stork,,,,,,,,,,,
Iowa,IA,2015,WellCare Health Plans,31000.0,Christopher Rants,,,,,,,,,,,
Iowa,IA,2015,WellCare Health Plans,16000.0,Christopher Rants,,,,,,,,,,,
Iowa,IA,2015,Weitz Company,0.0,LS2,Jeffrey Boeyink,Susan Fenton,,,,,,,,,
Iowa,IA,2015,"Waste Management, Inc.",37000.0,Paula Feltner,MIke Heller,,,,,,,,,,
Iowa,IA,2015,Walgreen Co.,15555.56,"Karen Sisson, Esq.",,,,,,,,,,,
Iowa,IA,2015,Waldorf College,0.0,none,,,,,,,,,,,
Iowa,IA,2015,"Wal-Mart Stores, Inc.",37372.34,Ryan Irsik,Sandra Jaques,,,,,,,,,,
Iowa,IA,2015,"VMR Products, LLC",0,Mark Joyce,,,,,,,,,,,
Iowa,IA,2015,"VMR Products, LLC",0,Mark Joyce,**payments were for work,performed in 2014. Mark Joyce,did NOT represent VMR,during the 2015 session.,,,,,,,
Iowa,IA,2015,Visiting Nurse Services of IA,6015.5,Advocacy Strategies,Threase Harms,Kent Hartwig,Jake Oeth,,,,,,,,
Iowa,IA,2015,VGM Group Inc.,2350.0,Tom Powers,,,,,,,,,,,
Iowa,IA,2015,Veterans National Recovery Center,200.0,R. Bruce Beeston,,,,,,,,,,,
Iowa,IA,2015,Veterans National Recovery Center,240.17000000000002,Bob Krause,Bruce Beeston,,,,,,,,,,
Iowa,IA,2015,Verus Financial,50000.0,Christopher Rants,,,,,,,,,,,
Iowa,IA,2015,Verizon Corporation and Affiliated Companies,4080.0,craig walter,,,,,,,,,,,
Iowa,IA,2015,Verizon Corporation and Affiliated Companies,45000.0,"Eide & Heisinger, LLC",Matt Eide,John Pederson,Laura Book,,,,,,,,
Iowa,IA,2015,Veridus LLC representing Recovery Audit Specialists LLC,0.0,Triplett Enterprises Ltd.,- Michael Triplett,,,,,,,,,,
Iowa,IA,2015,Veridian Credit Union,45000.0,Michael Harvey,,,,,,,,,,,
Iowa,IA,2015,ValueOptions,0.0,Cornerstone Government Affairs,David Adelman,Frank Chiodo,,,,,,,,,
Iowa,IA,2015,Utility Management Organizations of IA,5500.0,James Obradovich,Robert Bob Mulqueen,Pete McRoberts,,,,,,,,,
Iowa,IA,2015,Urbandale-Windsor Heights Sanitary District,1500.0,Robert L. Rafferty,,,,,,,,,,,
Iowa,IA,2015,Urban Education Network of IA,77500.0,Margaret Buckton,Lewis Finch,,,,,,,,,,
Iowa,IA,2015,Urban County Coalition,81666.66,L&L Murphy Consulting,Larry Murphy,Gary Grant,Meghan Malloy,,,,,,,,
Iowa,IA,2015,UPS,44000.0,"Eide & Heisinger, LLC",Matt Eide,John Pederson,Laura Book,,,,,,,,
Iowa,IA,2015,University of Phoenix,48600.0,Nyemaster Goode Law Firm,Brad Epperly,Paula Dierenfeld,Scott Sundstrom,,,,,,,,
Iowa,IA,2015,UnityPoint Health,105000.0,Kate Walton,Julie Smith,Jessica Harder,,,,,,,,,
Iowa,IA,2015,United Ways of IA,39924.81,"Eide & Heisinger, LLC",Matt Eide,John Pederson,Laura Book,Sarah Ramsey,,,,,,,
Iowa,IA,2015,United Transportation Union,0.0,Jim M. Garrett,,,,,,,,,,,
Iowa,IA,2015,United States Fireworks Safety Commission,7500.0,Christopher Rants,,,,,,,,,,,
Iowa,IA,2015,United Professionals/UE,6000.0,James Obradovich,,,,,,,,,,,
Iowa,IA,2015,"United Healthcare Services, Inc.",43919.56,Brendan Hostetler,Frank Chiodo / Scott Newhard,,,,,,,,,,
Iowa,IA,2015,Union Pacific Railroad,38500.0,Triplett Enterprises Ltd.,- Michael Triplett,Kelli O'Brien,,,,,,,,,
Iowa,IA,2015,"UCB, Inc.",0.0,Tracey Gasperi,,,,,,,,,,,
Iowa,IA,2015,Uber Technologies,31142.0,Triplett Enterprises Ltd.,#NAME?,Pooneet Kant,,,,,,,,,
Iowa,IA,2015,U.S. Sportsmens Alliance,15000.0,Mike Heller,Paula Feltner,,,,,,,,,,
Iowa,IA,2015,U.S. Cellular,44400.0,Brian Johnson,,,,,,,,,,,
Iowa,IA,2015,"Tyson Foods, Inc.",36000.0,"Eide & Heisinger, LLC",Matt Eide,John Pederson,Laura Book,,,,,,,,
Iowa,IA,2015,Tusk Task Force (Wildlife Conservation),0.0,"Allen R Sandico, CEO",,,,,,,,,,,
Iowa,IA,2015,Truckstops of Iowa,24747.84,Robert L Rafferty,,,,,,,,,,,
Iowa,IA,2015,Travel Federation of IA,18633.87,Campbell/Patterson Consulting,Amy Campbell,Craig Patterson,,,,,,,,,
Iowa,IA,2015,TransCanada Pipeline USA Ltd,10000.0,craig walter,,,,,,,,,,,
Iowa,IA,2015,TransCanada Pipeline USA Ltd,10000.0,Walter & Associates,,,,,,,,,,,
Iowa,IA,2015,Trans IA,5000.0,Scott Weiser,,,,,,,,,,,
Iowa,IA,2015,Town Financial,0.0,George Appleby,Jim Carney,Jennifer Tyler,Doug Struyk,,,,,,,,
Iowa,IA,2015,"TMS Management Group, Inc",14488.0,Don Avenson,Tom Cope,Brice Oakley,,,,,,,,,
Iowa,IA,2015,TIAA-CREF,42000.0,Joyce Consulting-Mark Joyce,Jerry Fitzgerald,,,,,,,,,,
Iowa,IA,2015,The Rasmussen Group,25000.0,PRI/NC Consuling,Frank Chiodo,Scott Newhard,,,,,,,,,
Iowa,IA,2015,The Preservation of Rural Iowa Alliance,0.0,Carolyn Sheridan,Justin LaVan,,,,,,,,,,
Iowa,IA,2015,The Nature Conservancy,23203.359999999997,Kristin Aschenbrenner,Doug Struyk,Jim Carney,George Appleby,Jennifer Tyler,,,,,,,
Iowa,IA,2015,"The Iowa Clinic, P.C.",24000.0,Fultz McHenry Consulting LLC,Karla Fultz McHenry,Eric Goranson,,,,,,,,,
Iowa,IA,2015,The Innocence Project of IA,0.0,Brian Farrell,,,,,,,,,,,
Iowa,IA,2015,The Innocence Project,3500.0,Robert L Rafferty,,,,,,,,,,,
Iowa,IA,2015,The IA. Academy of Trust and Estate Counsel,6723.0,Davis Brown Law Firm,Kate Carlucci,Tom Stanberry,,,,,,,,,
Iowa,IA,2015,The Homestead,0,Gary Grant,,,,,,,,,,,
Iowa,IA,2015,The Homestead,0.0,Gary Grant,,,,,,,,,,,
Iowa,IA,2015,The Hale Group,0.0,John Hale,,,,,,,,,,,
Iowa,IA,2015,The Family Leader Foundation,11534.65,Chuck Hurley,Greg Baker,Danny Carroll,,,,,,,,,
Iowa,IA,2015,The Family Leader,27130.4,Tamara Scott,Chuck Hurley,Greg Baker,Danny Carroll,,,,,,,,
Iowa,IA,2015,The Coves of Sundown Lake Owners Assn.,7500.0,Kimberly Haus,,,,,,,,,,,
Iowa,IA,2015,The Capitol Group,0.0,James Obradovich,Robert  Bob Mulqueen,Pete McRoberts,,,,,,,,,
Iowa,IA,2015,"Telligen, formerly IA. Foundation for Medical Care",21000.0,LS2,"Eide & Heisinger, LLC",,,,,,,,,,
Iowa,IA,2015,"Telligen, formerly IA. Foundation for Medical Care",6000.0,"Eide & Heisinger, LLC",Matt Eide,John Pederson,Laura Book,,,,,,,,
Iowa,IA,2015,"Teladoc, LLC",10000.0,Avenson Oakley & Cope,Don Avenson,Tom Cope,Brice Oakley,,,,,,,,
Iowa,IA,2015,Technology Assn. of IA,30000.0,Mark Joyce,,,,,,,,,,,
Iowa,IA,2015,TEC Industries LLC,0.0,0,,,,,,,,,,,
Iowa,IA,2015,Team IA,27000.0,Cornerstone Government Affairs,David Adelman,Frank Chiodo,,,,,,,,,
Iowa,IA,2015,"Tassel Ridge Winery, LLC",3055.83,BrownWinick,Matthew McKinney,Marc Beltrame,,,,,,,,,
Iowa,IA,2015,Target Corp.,0.0,Lydia Bjorge,,,,,,,,,,,
Iowa,IA,2015,Tanager Place,18560.0,Sandra Jaques,Bob Rafferty,,,,,,,,,,
Iowa,IA,2015,Takeda Pharmaceuticals America,0.0,Michael Kapocius,,,,,,,,,,,
Iowa,IA,2015,Syngenta Crop Protection,10000.0,BrownWinick,Steven Schoenebaum,,,,,,,,,,
Iowa,IA,2015,Sunovion Pharmaceuticals Inc.,5100.0,Nancy McKee,Todd Kailas,,,,,,,,,,
Iowa,IA,2015,Sundown Lake Rural Improvement Zone,7500.0,Kim Haus,,,,,,,,,,,
Iowa,IA,2015,Summit Group,5000.0,RLW Strategies,Jeffrey Boeyink,,,,,,,,,,
Iowa,IA,2015,StudentsFirst,0.0,Patricia Link,Brett Barley,Tim Melton,,,,,,,,,
Iowa,IA,2015,Storm Lake Citizens For Save the Lake,10000.0,Susan Cameron,Lon Anderson,,,,,,,,,,
Iowa,IA,2015,Steven Schoenebaum-Personal Interest,0,Steven Schoenebaum,,,,,,,,,,,
Iowa,IA,2015,Steve Kruse Kennells,15000.0,David Scott,,,,,,,,,,,
Iowa,IA,2015,State Public Policy Group,0.0,Arlinda McKeen,Tom Slater,Natalie Koerber,Jerry Addy,,,,,,,,
Iowa,IA,2015,State Public Defender's Office,9.67,Kurt Swaim,,,,,,,,,,,
