State,StateAbbr,Year,Client,Amount,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Virginia,VA,2013 - 2014,3M Corporation,100.0,Frederick P Helm,Marianne M Radcliff
Virginia,VA,2013 - 2014,"7-Eleven, Inc",1674.93,Charles R. Duvall Jr.,Tripp Perrin
Virginia,VA,2013 - 2014,A. D. Whittaker Construction,2921.01,Herschel Von Keller
Virginia,VA,2013 - 2014,AAA Mid-Atlantic,34887.38,Martha Mitchell Meade,Mahlon G Anderson
Virginia,VA,2013 - 2014,AAA Mid-Atlantic,5600.0,R. Brian Ball,Patrick A. Cushing
Virginia,VA,2013 - 2014,AAA Tidewater Virginia,12581.47,Georjeane Linley Blumling
Virginia,VA,2013 - 2014,AARP Virginia,29170.0,David M. DeBiasi
Virginia,VA,2013 - 2014,Accenture,1550.0,Anne Leigh Kerr
Virginia,VA,2013 - 2014,ACE Cash Express,25945.71,Beatriz Gonzalez
Virginia,VA,2013 - 2014,ACE Group-North America,25904.87,J. Christopher LaGow
Virginia,VA,2013 - 2014,Acupuncture Society of Virginia,3600.0,Matthew P Stanley
Virginia,VA,2013 - 2014,Adams Outdoor Advertising,100.0,Barrie B Bowers,John G Dicks
Virginia,VA,2013 - 2014,"Advance America C/O Multi-State Associates, Inc.",15050.0,Reginald N. Jones
Virginia,VA,2013 - 2014,Aetna,17786.35,Michael L Edwards,Frederick P Helm,John-Garrett Kemper,William Ross Grogg IV
Virginia,VA,2013 - 2014,AgNutrients,3254.4,Robert G. Crockett
Virginia,VA,2013 - 2014,Airrosti,5154.4,James T. Roberts
Virginia,VA,2013 - 2014,Albemarle Charlottesville Regional Jail Authority,2195.0,Roger Wiley
Virginia,VA,2013 - 2014,Albemarle Charlottesville Regional Jail Authority,2195.0,William Hefty
Virginia,VA,2013 - 2014,Albemarle County Public Schools,7753.36,Nicole Storm
Virginia,VA,2013 - 2014,Albers & Co,11523.27,Alexander Macaulay
Virginia,VA,2013 - 2014,Alexandria City Public Schools,10050.0,Lilla Wise
Virginia,VA,2013 - 2014,Alexandria Union Cab Cooperative Inc,1124.0,Joyce Woodson
Virginia,VA,2013 - 2014,"Allergan USA, Inc.",6470.0,William Scott Johnson
Virginia,VA,2013 - 2014,"Allergan, Inc.",50.0,Delman Lebel
Virginia,VA,2013 - 2014,Alliance,7798.27,Frederick P Helm,Marianne M Radcliff
Virginia,VA,2013 - 2014,Alliance for Construction Excellence (ACE),12050.0,David L Bailey
Virginia,VA,2013 - 2014,Alliance for Progress in Southern Virginia,35570.0,Jessica Bowman,Ralph L. Axselle,Nicole L Pugar
Virginia,VA,2013 - 2014,Allstate Insurance Company,19979.0,Rich Savage,Lawrence Noel Patterson Jr.
Virginia,VA,2013 - 2014,Alpha Natural Resources,22684.17,Robert T. Baratta,Donald Lewis Ratliff
Virginia,VA,2013 - 2014,Alpha Natural Resources,21243.7,Richard L Settle Jr
Virginia,VA,2013 - 2014,Altria Client Services Inc. and its Affiliates,175594.36,Reginald N Jones,John S. Rainey Jr.
Virginia,VA,2013 - 2014,Altria Client Services Inc. and Its Affiliates,97150.0,James T. Hoffman,Christine J. Davis,Charles J. Davis III
Virginia,VA,2013 - 2014,Alzheimer's Association,3455.0,Carter Harrison
Virginia,VA,2013 - 2014,Amazon,4250.0,Jeff Gregson
Virginia,VA,2013 - 2014,Amelia County,1550.0,Roger Wiley
Virginia,VA,2013 - 2014,Amelia County,1550.0,Jeffrey Gore
