State,StateAbbr,Year,Client,Amount,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Virginia,VA,2015 - 2016,"Anthem, Inc. and Its Affiliates",0.0,Donald C. Gehring,Donald C. Gehring
Virginia,VA,2015 - 2016,"Becton, Dickinson and Company",0.0,Heidi R. Dix,Heidi R. Dix
Virginia,VA,2015 - 2016,"Family Preservation Services, Inc.",2000.0,Heidi R. Dix,Heidi R. Dix
Virginia,VA,2015 - 2016,Gilbane Building Company,400.0,Heidi R. Dix,Heidi R. Dix
Virginia,VA,2015 - 2016,"Gilead Sciences, Inc.",8000.0,Rebecca O'Hara,Rebecca O'Hara
Virginia,VA,2015 - 2016,Hewlett-Packard Company,0.0,Heidi R. Dix,Heidi R. Dix
Virginia,VA,2015 - 2016,"Humana, Inc.",10000.0,Karin Addison
Virginia,VA,2015 - 2016,"Lorillard, Inc.",0.0,Christopher Nolen,Christopher Nolen
Virginia,VA,2015 - 2016,"Magellan Health, Inc.",3000.0,Heidi R. Dix,Heidi R. Dix
Virginia,VA,2015 - 2016,"MAXIMUS, Inc. ",3500.0,Heidi R. Dix,Heidi R. Dix
Virginia,VA,2015 - 2016,Monsanto Company,0.0,Clark H Lewis,Clark H Lewis,Michael W Woods,Michael W Woods
Virginia,VA,2015 - 2016,National Rifle Association of America,6237.69,Anna Kopperud
Virginia,VA,2015 - 2016,"PRISA LHC, LLC",1200.0,Heidi R. Dix,Heidi R. Dix
Virginia,VA,2015 - 2016,"Wellcare Health Plans, Inc.",476.22,Margaret Peal,Margaret Peal,Carol Steckel,Carol Steckel
