2010,Jim Funk,ADAM LEONARD KNAPP,24999.0
2009,"Louisiana Restaurant Association, Inc.",ADAM LEONARD KNAPP,87499.75
2010,"Louisiana Restaurant Association, Inc.",ADAM LEONARD KNAPP,87499.75
2010,Jim Funk,CHERYL  TOLBERT,24999.0
2009,"Louisiana Restaurant Association, Inc.",CHERYL  TOLBERT,87499.75
2010,"Louisiana Restaurant Association, Inc.",CHERYL  TOLBERT,87499.75
2009,AGL Resources,EDWIN PIERRE RABALAIS,7499.9
2010,AGL Resources,EDWIN PIERRE RABALAIS,7499.9
2011,AGL Resources,EDWIN PIERRE RABALAIS,7499.9
2012,AGL Resources,EDWIN PIERRE RABALAIS,7499.9
2013,AGL Resources,EDWIN PIERRE RABALAIS,7499.9
2009,ALON USA,EDWIN PIERRE RABALAIS,4999.8
2010,ALON USA,EDWIN PIERRE RABALAIS,4999.8
2011,ALON USA,EDWIN PIERRE RABALAIS,4999.8
2012,ALON USA,EDWIN PIERRE RABALAIS,4999.8
2013,ALON USA,EDWIN PIERRE RABALAIS,4999.8
2009,CenterPoint Energy,EDWIN PIERRE RABALAIS,37499.5
2009,Colonial Pipeline,EDWIN PIERRE RABALAIS,4999.8
2010,Colonial Pipeline,EDWIN PIERRE RABALAIS,4999.8
2011,Colonial Pipeline,EDWIN PIERRE RABALAIS,4999.8
2012,Colonial Pipeline,EDWIN PIERRE RABALAIS,4999.8
2013,Colonial Pipeline,EDWIN PIERRE RABALAIS,4999.8
2009,Columbia Gulf Transmission,EDWIN PIERRE RABALAIS,7499.9
2010,Columbia Gulf Transmission,EDWIN PIERRE RABALAIS,7499.9
2011,Columbia Gulf Transmission,EDWIN PIERRE RABALAIS,7499.9
2012,Columbia Gulf Transmission,EDWIN PIERRE RABALAIS,7499.9
2013,Columbia Gulf Transmission,EDWIN PIERRE RABALAIS,7499.9
2002,Louisiana Oil Marketers and Convenience Store Association,MARIA WOODYEAR BOWEN,4687.46875
2003,Louisiana Oil Marketers and Convenience Store Association,MARIA WOODYEAR BOWEN,4687.46875
2004,Louisiana Oil Marketers and Convenience Store Association,MARIA WOODYEAR BOWEN,4687.46875
2005,Louisiana Oil Marketers and Convenience Store Association,MARIA WOODYEAR BOWEN,4687.46875
2006,Louisiana Oil Marketers and Convenience Store Association,MARIA WOODYEAR BOWEN,4687.46875
2007,Louisiana Oil Marketers and Convenience Store Association,MARIA WOODYEAR BOWEN,4687.46875
2008,Louisiana Oil Marketers and Convenience Store Association,MARIA WOODYEAR BOWEN,4687.46875
2009,Louisiana Oil Marketers and Convenience Store Association,MARIA WOODYEAR BOWEN,4687.46875
2010,Louisiana Oil Marketers and Convenience Store Association,MARIA WOODYEAR BOWEN,4687.46875
2011,Louisiana Oil Marketers and Convenience Store Association,MARIA WOODYEAR BOWEN,4687.46875
2012,Louisiana Oil Marketers and Convenience Store Association,MARIA WOODYEAR BOWEN,4687.46875
