State,StateAbbr,Year,Client,Amount,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Nebraska,NE,2005,Nebraska Cable Communications Association,78901.98,"Bromm, Curt"," Radcliffe, Walter H. of Radcliffe and Associates"," Johnson Group, The "," Campbell, Mary M. of Campbell & Associates"
Nebraska,NE,2005,Nebraska Public Power District,61983.85,"Higgins, Shirley", Nowka & Edwards," Warth, Terry"," McClure, John C."
Nebraska,NE,2005,Nebraska Petroleum Marketers & Convenience Store Association,18157.25,"Rasmussen, Dennis"," Keigher, Timothy P."
Nebraska,NE,2005,Cargill,27976.93,"Zumwinkle, Mike"," Moors, H. Jack"," Engh, Jennifer L."
Nebraska,NE,2005,"Cigar Association of America, Inc.",30000.0,"Peters, William E."
Nebraska,NE,2005,Cox Communications,31459.77,"Logsdon, Robert R."," Bruning, Deonne"," Kohler, Mike"
Nebraska,NE,2005,Lincoln Electric System,33100.0,"Sahling-Zart, Shelley R."," Kissel/E&S Associates, LLC"
Nebraska,NE,2005,"Community Lottery System, Inc.",20000.0,Nowka & Edwards
Nebraska,NE,2005,"Altria Client Services, Inc. (Formerly UST Public Affairs, Inc.)",58476.41,"Radcliffe, Walter H. of Radcliffe and Associates"
Nebraska,NE,2005,CHI Health,59988.28,"Kissel/E&S Associates, LLC"," Anderson, Shannon M"
Nebraska,NE,2005,Lincoln Federal Savings Bank,844.0,"Bromm, Jaron, of Fennemore Craig"
Nebraska,NE,2005,HLR Service Corporation,9716.69,"Setzepfandt, Scott"
Nebraska,NE,2005,Consolidated Telephone Company,2790.72,"Hybl, Michael G. - Consortia Consulting"
Nebraska,NE,2005,Fremont Public Schools,20527.31,"Nabb, Douglas L. (deceased)"
Nebraska,NE,2005,Nebraska Investment Finance Authority,6744.0,"Kissel/E&S Associates, LLC"," Kenny, Timothy R."," Peterson, Patricia Schuett"
Nebraska,NE,2005,Nebraska Farmers Union,3400.0,"Hansen, John K."
Nebraska,NE,2005,Hamilton Telecommunications,3016.57,"Hybl, Michael G. - Consortia Consulting"
Nebraska,NE,2005,"Nature Conservancy Action Fund, The",5100.0,"Campbell, Mary M. of Campbell & Associates"
Nebraska,NE,2005,Nebraska Press Association,18679.69,"Beermann, Allen J.", Mueller Robak
Nebraska,NE,2005,Cameco Resources,12365.0,"Moors, H. Jack"," McGuire, Mark D."
Nebraska,NE,2005,Union Pacific Railroad,92510.58,Nowka & Edwards," Bateman, Joseph"," Ryan, Beth"
Nebraska,NE,2005,"Mid-America Companies, LLC/Lundeen",6000.0,"Schmit, Loran of Schmit Industries, Inc."
Nebraska,NE,2005,EHPV Lottery Services LLC aka Big Red Keno ,36100.0,Mueller Robak," Harvey, William F."
Nebraska,NE,2005,Omaha Landlords Association (formerly Omaha Property Owners Association),10000.0,"Radcliffe, Walter H. of Radcliffe and Associates"
Nebraska,NE,2005,Catrala of Nebraska,5500.0,"Rasmussen, Dennis"
Nebraska,NE,2005,"Campbell, Mary M. of Campbell & Associates",12100.0,"Paden, Nicholas K."
Nebraska,NE,2005,Takeda Pharmaceuticals America,0.0,"Roof, Dale"," Lieurance, James"
Nebraska,NE,2005,City of Elkhorn,20000.0,"Bromm, Curt"
Nebraska,NE,2005,"eBay, Inc.",26100.0,Mueller Robak
Nebraska,NE,2005,Nebraska Municipal Power Pool,28000.0,"Dibbern, Chris"," Kissel/E&S Associates, LLC"
Nebraska,NE,2005,"Nebraskans First, Inc.",12000.0,"Adams, Don"
Nebraska,NE,2005,Nebraska Telecommunications Business Users Coalition,10000.0,"Kissel/E&S Associates, LLC"
Nebraska,NE,2005,Endow Nebraska,16835.440000000002,"Moul, Maxine"," O'Hara Lindsay & Associates, Inc."
Nebraska,NE,2005,Educational Service Units Administrators Association,18000.0,"Campbell, Mary M. of Campbell & Associates"
Nebraska,NE,2005,Nebraska Appleseed,2230.84,"Mumgaard, D. Milo"," Nantkes, Danielle"
Nebraska,NE,2005,Humanities Nebraska,1978.84,"O'Hara Lindsay & Associates, Inc."," Hood, Jane Renner"
Nebraska,NE,2005,Bayer Corporation,2534.98,"Mischo, Craig"
Nebraska,NE,2005,"PRIDE-Omaha, Inc.",223.0,"Dugan, Susie"
Nebraska,NE,2005,Nebraska Board of Engineers and Architects,16000.0,"American Communications Group, Inc."
Nebraska,NE,2005,Nebraska Hearing Society,3100.0,"Kissel/E&S Associates, LLC"
Nebraska,NE,2005,"Rasmussen Legislative Consultants, Inc.",18000.0,"Keigher, Timothy P."
Nebraska,NE,2005,Merck Sharp and Dohme Corp.,26152.71,"Belcher, Barbara N."," Nielsen, Coleen J."
Nebraska,NE,2005,Nebraska Grain and Feed Association,3565.96,"Ptacek, Patrick J."
Nebraska,NE,2005,Nebraskans For Alternatives to the Death Penalty,5050.0,"Aspengren, Eric"," Winston, Kenneth C."
Nebraska,NE,2005,Voices for Children in Nebraska,1577.19,"Dodge, Melissa"
Nebraska,NE,2005,Nebraska District Court Judges Association,20141.52,Mueller Robak
Nebraska,NE,2005,American Legion of Nebraska,0.0,"Craig, Robert B."
Nebraska,NE,2005,Center for Rural Affairs,19223.15,"Kleinschmit, Martin"," Bailey, Jon M."," Hassebrook, Chuck"," American Communications Group, Inc."
Nebraska,NE,2005,Nebraska Right to Life,400.59,"Schmit-Albin, Julie"
Nebraska,NE,2005,"MDS Pharma Services (US), Inc.",35100.0,Mueller Robak
Nebraska,NE,2005,Nebraska Land Title Association,16264.810000000001,Mueller Robak
Nebraska,NE,2005,South Platte United Chambers of Commerce,2942.0,"Amack, Angela K."
