State,StateAbbr,Year,Client,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Sportsmen for Fish & Wildlife of Wyoming,Robert Wharff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Hospital Association,Daniel J. Perdue,James C. Kaste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming All Breeds Racing Association,Barbara E. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Associations & Government Affairs,Susan M. Menghini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Association of Sheriffs and Chiefs,Byron F. Oedekoven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Christian Science Churches of Wyoming,Carole S. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Rocky Mountain Elk Foundations,Richard G. Pallister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Mountain West Farm Bureau Mutual,Kevin D. Bohnenblust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Holiday Inn.,Jennifer N. Yates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,PacificCorp,Robert M. Tarantola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Contractors Assn.,llamphere@propertyex.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Sublette County,John C. McKinley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,SWAT,Brittaney A. Caldwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Devon Energy Corporation,Margo Harlan Sabec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Association of Conservation,Dennis M. Hemmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Hoy's Drug,James K. Massengill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Delta Dental of Wyoming,Mathew Hamblin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Right to Life of Wyoming,Steven A. Ertelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Hardy Ranch LLC,Gene Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,ABATE of Cheyenne,Duncan D. Philp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Taxpayers Association,Erin N. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Holiday Inn,Lisa M. Maney,Robert Harmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"MedImmune, Inc",Scott D. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,City of Rock Springs,Brad Sarff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Fire Chiefs,Randy J. Vickers,Russ Wenke,T.J. Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Society of CPA's,Renee M. Brower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Cheyenne Metropolitan Planning Organization,Thomas M. Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Cable T.V. Assn.,H.L. Jensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Powder River Basin Resource Council,Deborah K. Thomas,Gillian Malone,Jill R. Morrison,John L. Vanvig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"BNSF Railway, Inc.",Margaret Spearman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Student at UW,Jeanette A. Skinner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,University of Wyoming,Richard H. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"Attention Homes, Inc.",Cherri L. Lester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"North American Power Group, LTD",Brad M. Enzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Department of Agriculture,David J. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,C.P.E.A.,Fred David Searle,Todd M. Feezer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming State Board of Agriculture,Lee A. Otto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Credit Union Association of Wyoming,Ronald J. Rakowsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Landowners Assn. of Wyoming,John G. Stange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Youth Services Assn.,Robert C. Mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,SWAT Team,Laura A. Stryker,Leslie A. Kinner,Michael S. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,WABRA,Judy R. Horton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Ambulance and Emergency Medical,Karen G. Clark-Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Jeffrey C. Wardle Academy Inc.,Judy Catchpole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Fremont County School District # 24,Aaron Carr,Curt Collins,Greg Jarvis,Jody Downey,Kay Watson,Rita Campbell,Tammy Cox,Teffany Fegler,Thomas M. Mason,Zane Fross,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Regional Svcs. Providers of WY,Ruth C. Sommers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"K12, Inc.",Gregory C. Dyekman,Kristi A. Wallin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"Bitter Creek Brewing, LLC",Larry Caller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Embarq,James P. Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,IAFF,Joe D. Fender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,NARAL Pro-Choice Wyoming,Brenda Ilg,Sharon S. Breitweiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,AMIP,Lynn Birleffi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Campbell County Chamber of Commerce,Ian D. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Exxon Mobil,Brent R. Kunz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"Contact Communications, Inc.",B. Christopher Robisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming State Bar Foundation,Leigh Ann G. Manlove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,WY Assn. of Public Charter Schools,Mary Lynne Shickich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Chapter National Electrical,William G. Dale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming State AFL-CIO,Kim A. Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"Medco Health Soultions, Inc.",Steven F. Freudenthal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Contractors Association,Brad E. Westby,Charles E. Ware,Jonathan E. Downing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Game Wardensm Association,Sharon S. Breitweiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Coalition for Wyoming Children,Margaret R. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Rio Tinto Energy America,Richard C. Atkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Cheyenne Regional Medical Center,W. Perry Dray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Self,Aaron C Tifft,Annette M. Monserrate,Beverly B. Goodman,Chris R. Christensen,Cindy L. Christofferson,Donley G. Darnell,Doreen Valdez,Frankie Addington,Glenn Gordon,Harry E. Washut,J. Larry Romsa,Jan Alvaney,Jim Allen,Jim L. Boreing,Jim Rogers,Joe D. Simmons,Joseph C. Dobson,LaVern R. Johnson,Lonna L. Lamphere,Luann Borgialli,Manny Monserrate,Marilyn Werner,Nancy J. Sorenson,Nancy M. Darnell,Randy J. Dunn,Rhonda P. Priest,Robert D. Spencer,Robert H. Leonard,Roberta Garrett,Ronald D. Williams,Sarah C. Hines,Steven M. Adami,T. Clay Gibbons,Teresa C. Oatsvall,Terry R. Jones,Terry W. Groenewold,Thomas N. Long
Wyoming,WY,2006,Casper Area Chamber of Commerce,Lori J. Becker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Behavioral Institute,Lisa D. McGee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Bank & Trust,Michael E. Bohl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,American Council of Life Insurance,Dave Uchner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Bankers Assn.,Mark R. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Association of Pre-hospital,David W. Simkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Associated Builders,Joshua Joel R. Carnahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Citizens Protecting the Wyoming Range,Gary Amerine,J.J. Healy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Childrens Action Alliance,Deanna L. Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Reynolds American Inc.,Stanley R. Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Barry Johnson,Barry G. Johson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Chapter of the Sierra Club,James P. Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Conoco Phillips,Perry Pearce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Professional Towing Assoc.,Junius Jr. Elmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Office of Health Care Financing,Brian C. Shuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,WREPA,Charles W. Custis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Union Pacific Railroad,Richard M. Hartman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Flitner Communications,Sara M. Flitner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"AstraZeneca Pharmaceuticals, LP",Diane Alexander,Trish McDaid-Oneill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Cheyenne Light Fuel & Power,Boe W. Surbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Farmers Insurance,Mike Mores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Outdoor Council,Laurie K. Milford,Lisa D. McGee,Meredith A. Taylor,Paula G. Barnett,Terry R. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,ACMS/LLC,Nicole M. Urbigkit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Equality State Policy Center,Daniel H. Neal,David J. Graham,John D. Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"Apple Computer, Inc.",Richard G. Pallister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,George K. Baum & Company,Mary J. Keating-Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Petroleum Association of Wyoming,Bruce A. Hinchey,John T. Robitaille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Building Trades,Timothy Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,self,Bill Greer,Eric S. Barlow,Gene Lane,John A. Francis,Mark R. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Farm Bureau Federation,Brett R. Moline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyo County Commissioners Assn.,Joseph Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Cox Ranches LLC,Gay Woodhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Association of Churches,John S. Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Laborer's Local #1271,Les Vasey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Federated Firefighters of Wyoming,Rodney A. Olson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Airport Operator Association,Scott D. Hinderman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Kern River Gas Transmission Co.,Wendy H. Lowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,P&M Coal Mining Company,Nick J. Bettas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Stock Growers Assn.,James H. Magagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Gilead,Dru D. Bower Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,ACEC of Wyoming,Michael K. Purcell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,United Transportation Union,Mike R. Stufflebean,Terry L. Ungricht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"Kinder Morgan, Inc.",Paul J. Hickey,Roger C. Fransen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Jackson Hole Conservation Alliance,Franz J. Camenzind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Family Coalition,Becky Vandeberghe,Daphne D. Ramey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"Fronter Refining, Inc.",Melvyn S. Wilkenfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Black Hills Corporation,Randy Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,City of Cheyenne,Lois A. Huff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Citizens Lobbyist,John R. Vipperman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,AFLAC,William J. Thomson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"Wyoming Bankers Association, Inc.",David R. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,WY Conservation Voters,Jason C. Marsden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Assn. of County Predatory Animal,Bryce R. Reece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Fremont County School District #38,Terry L. Mayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Greater Cheyenne Chamber of Commerce,Larry T. Atwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,BP,Paula G. Barnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Ag Business Association,Keith A. Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Brotherhood of Locomotive Engineers &,Terry R. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Airport Operator's Association,Robert Harmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Pharmacy Association,Loretta C. Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyeth,Betty Iverson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyo Petroleum Marketers Assn.,Roy A. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming AFI-CIO,Jeff E. Shaffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Retired,Melvin H. Gillispie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"Wildhorse Energy, Inc.",Don E. Stovall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"Solvay Chemicals, Inc.",James I. Maxfield,Ron O. Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"Casper Medical Center, LLC",David C. Picard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"McLeodUSA, Inc.",William A. Haas,William H. Courter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"CenturyTel, In.",Edith M. Ortega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Cheyenne Fire Fighters/Federated FF of WY,Jon Narva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,AARP of Wyoming,Renee D. Gamino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Trial Lawyers Assn.,Marcia K. Shanor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Well Dog,Trish A. Fritz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Sportsmen for Fish and Wildlife of Wyoming,David Bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Blue Cross Blue Shield of Wyoming,John P. McBride,Rick F. Schum,Tim J. Crilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"Wyoming Trucking Association, Inc.",Sheila D. Foertsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
