State,StateAbbr,Year,Client,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Wyoming,WY,2004,"Association Communications, Inc.",Lora L. Huston
Wyoming,WY,2004,"Foundation Coal West, Inc.",Steven R. Laird
Wyoming,WY,2004,A.C.L.I.,R. Ron Long
Wyoming,WY,2004,Wyoming Game Wardens Assn.,Roger A. Bredehoft
Wyoming,WY,2004,"UST Public Affairs, Inc.",Daniel C. Fuchs
Wyoming,WY,2004,Wyoming Automobile Dealers Association,Jeff Freeman
Wyoming,WY,2004,WEPAC,Douglas R. McLaughlin
Wyoming,WY,2004,Monsanto,Kathy E. Ruffalo-Farnsworth
Wyoming,WY,2004,AAA Mountainwest,"Roi G. Williamson, Jr."
Wyoming,WY,2004,Wyoming Hospital Association,James C. Kaste,Robert C. Kidd
Wyoming,WY,2004,Fremont County School District #14,Michelle L. Hoffman
Wyoming,WY,2004,WY State AFL - CIO,Kim A. Floyd
Wyoming,WY,2004,Star Valley Medical Center,Steve Perry
Wyoming,WY,2004,Wyoming School Boards Assn.,Al Atkins,Mark Higdon
Wyoming,WY,2004,"Wup,omg Retired Teachers Assn.",Marlin A. Walter
Wyoming,WY,2004,FMC Wyoming Corp,Jay E. Lyon
Wyoming,WY,2004,Crop Improvement Association,Terry B. Jones
Wyoming,WY,2004,Wyoming Trucking Association,Donald Brent Taylor
Wyoming,WY,2004,Wyoming Wool Growers Assn.,Bryce R. Reece
Wyoming,WY,2004,"Devon Energy Corporation, PC",Margo Harlan Sabec
Wyoming,WY,2004,Yellowstone National Art Trust,Elaine Walsh
Wyoming,WY,2004,National Outdoor Leadership School,Jennifer C. Lamb
Wyoming,WY,2004,AARP,Carolyn Paseneaux,Charles Custis,"James E. Elliott, Jr.",Melvin H. Gillispie,Naomi Allen,Phone
Wyoming,WY,2004,"Apple Computer, Inc.",Brian Page
Wyoming,WY,2004,Wyoming Municipal Power Agency,George A. Bartholomew
Wyoming,WY,2004,Wyoming Association of Municipalities,Arthur T. Badgett
Wyoming,WY,2004,Cheyenne Regional Airport,Scott D. Hinderman
Wyoming,WY,2004,Foundation Coal Corporation,Donald E. Coovert
Wyoming,WY,2004,Wyoming Coalition Against DV/SA,Susan C. Pauling
Wyoming,WY,2004,Wyoming Professional Towing Assn.,Jonias Jr. Elmore
Wyoming,WY,2004,Wyoming Mining Assn.,Robert M. Grant
Wyoming,WY,2004,"TSP Two, Inc.",Nancy D. Freudenthal
Wyoming,WY,2004,"MedImmune, Inc.",Scott D. Brown
Wyoming,WY,2004,Health Insurance Association of America,Lynn Birleffi
Wyoming,WY,2004,Wyoming Funeral Directors Association,Steven C. Yeakel
Wyoming,WY,2004,Amercian Heart Association,Brent R. Kunz
Wyoming,WY,2004,Wyoming Estate Planning Advisory Council,Robert H. Leonard
Wyoming,WY,2004,Marathon Oil Company,Dave Searle,Douglas E. Thierwechter,Tramaine L. Chargois
Wyoming,WY,2004,"Medco Health Solutions, Inc.",Cynthia M. Laubacher,David Robinson
Wyoming,WY,2004,Schools,Jason Moon,Rachel Elizabeth Jones
