State,StateAbbr,Year,Client,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Wyoming,WY,2001,,Rodney Atkinson,Barry W. Auerbach,Charles R. Bates,Budd Betts,Michael E. Bohl,Michael R. Brown,Juanita I. Duncan,Susan Kay Flack,John M. Hastert,Jennifer L. Hilgenkamp,Robert C. Mayor,Marti J. McGraw,DouglasR. McLaughlin,Eric V. Miller,Luke T. Raczykowski,Laurie Brooke Seidenberg,Harold V. Shockley,Susan D. Tromble,Vernis R. Tromble,Susan D. Tromble,Vernis R. Tromble,Kathryn A. Valido,Evelyn L. Wall,Dennis K. West,Ronald D. Williams,Jim Wingert
Wyoming,WY,2001,Petroleum Association of Wyoming,Dru Bower,Jennifer A. Kavenius,"Elmer S. Parson, Jr."
Wyoming,WY,2001,Wyoming Trucking Association,Brent Taylor
Wyoming,WY,2001,Rocky Mountain Feed Industry Assn.,Mary Lou Chapman
Wyoming,WY,2001,National Audubon Society,Vicki L. Spencer
Wyoming,WY,2001,Gage & Moxley,Robert T. Moxley
Wyoming,WY,2001,Qwest,Michael A. Ceballos,Deborah K. Hinckley,Michael T. McNulty
Wyoming,WY,2001,Legislative & Law Reform Committee 500 Randall Avenue,Matthew H. Romsa
Wyoming,WY,2001,Saint Joseph's Children's Home,Scott G. Sutherland
Wyoming,WY,2001,Wyoming Estate Planning Advisory,Robert H. Leonard
Wyoming,WY,2001,IUPA Local 626,"Donald G. VanMatre, III"
Wyoming,WY,2001,First American Title Insurance Co.,Larry J. Christensen
Wyoming,WY,2001,Wyoming Student Loan Corporation,Mona L. Pearl,Phillip F. VanHorn
Wyoming,WY,2001,WY Coalition Against DVSA,Lisa M. Velker
Wyoming,WY,2001,Wyoming NARAL,Sharon S. Breitweiser
Wyoming,WY,2001,Pharmaceutical Research &,John M. Kuker
Wyoming,WY,2001,Anadarko Petroleum Corp.,Richard T. Robitaille
Wyoming,WY,2001,Johnson County School Dist. 1,Rod R. Kessler
Wyoming,WY,2001,Wyoming Dental Association,Diane M. O�۪Keefe
Wyoming,WY,2001,WCADVSA WY Coalition Against,Regina D. Dodson
Wyoming,WY,2001,Lincoln Co. S.D. #2,Ronald D. Tolman
Wyoming,WY,2001,Wyoming Farm Bureau Federation,Marvin N. Applequist
Wyoming,WY,2001,American Insurance Assoc.,David D. Uchner
Wyoming,WY,2001,Wyoming Municipal Power Agency,Michael A. Howe
Wyoming,WY,2001,Wyoming Association of Municipalities,Ginger Newman,George Parks,Stephanie A. Reeves
Wyoming,WY,2001,The Pittsburgh & Midway Coal,Nick J. Bettas
Wyoming,WY,2001,Platte Co. School District #2,Bruce W. Heimbuck
Wyoming,WY,2001,Wyoming Mining Assn.,Marion E. Loomis
Wyoming,WY,2001,Quality Heath Care Foundation,Dan Lex
Wyoming,WY,2001,Black Hills Power,James W. Bunch
Wyoming,WY,2001,Mountain States Lamb Cooperative,Mark J. Hanson
Wyoming,WY,2001,Wyoming Rural Electric Association,Judy Eastman
Wyoming,WY,2001,City of Riverton,William S. Eichler,William A. Urbigkit
Wyoming,WY,2001,Cheyenne Board of Public Utilities,Dennis E. Curran
Wyoming,WY,2001,WY Federation of Republican Women,Viola M. Ose
Wyoming,WY,2001,Wyoming Manufactured Housing Assn.,Alexander K.Davison,Laurie Urbigkit
Wyoming,WY,2001,Wyoming Assn. of Mental Health &,Loretta C. Wolf
Wyoming,WY,2001,Private Citizen,Leo A. Tsimbinos
Wyoming,WY,2001,Natrona County Medical Society,Lynne M. Whalen
Wyoming,WY,2001,Wyoming Livestock Board,Edward S. Weppner
Wyoming,WY,2001,Wyoming Hospital Association,"Robert C. Kidd, II",Daniel J. Perdue
Wyoming,WY,2001,Johnson & Johnson,Myrle A. Myers
Wyoming,WY,2001,Wyoming State Liquor Assn.,Mike Moser
Wyoming,WY,2001,National Cntr. Tobacco Free Kids,Beverly J. May
Wyoming,WY,2001,Wyo. Territorial Park,Paul A. Rechard
Wyoming,WY,2001,American Civil Liberties Union,Linda D. Burt
Wyoming,WY,2001,Duke Energy Field Services,John R. McPherson
Wyoming,WY,2001,Campbell Co. School District,Ed Wright
Wyoming,WY,2001,McLeodUSA,Liz T. Zerga
Wyoming,WY,2001,Sublette School District #9,Jack A. Reisig
Wyoming,WY,2001,Brooke Sweeney,Brooke A. Sweeney
Wyoming,WY,2001,MDU Resources Group,Geoff Simon
Wyoming,WY,2001,Wyoming Wool Growers Association,Bryce R. Reece
Wyoming,WY,2001,Local 1271,Tim L. Zimmerman
Wyoming,WY,2001,Qwest Corporation,Roger C. Fransen,Paul J. Hickey,Mary A. Throne
Wyoming,WY,2001,Sierra Club,Stephen D. Thomas
Wyoming,WY,2001,Marathon Oil Company,Douglas E. Thierwechter
Wyoming,WY,2001,BlueCross BlueShield of Wyoming,Kevin D. Bohnenblust,Tim Crilly,Rick Schum
Wyoming,WY,2001,Wyoming Petroleum Marketers Assn.,Roy A. Turner
Wyoming,WY,2001,I.U.P.A.,Dee Garrison
Wyoming,WY,2001,Wyoming Chapter NECA,Birkett J. William
Wyoming,WY,2001,Chevron USA,Daniel D. Johnson
Wyoming,WY,2001,Exxon Mobil Corporation,Brent R. Kunz
Wyoming,WY,2001,Right to Life of Wyoming,Paula E. Glover
Wyoming,WY,2001,Wyoming School Support Services,Lawrence Anderson,Alfred A. Atkins,Jerry Maurer
Wyoming,WY,2001,Wyo. Fire Chief's Assn.,Kim D. Lee
Wyoming,WY,2001,Rio Algom Mining Corp.,George G. Byers
Wyoming,WY,2001,Wyoming Taxpayers Association,Michael W. Walden-Newman
Wyoming,WY,2001,Wyoming Medical Society,Susie P. Wacker
Wyoming,WY,2001,Wyoming Public Health Assn.,Carl H. Blank
Wyoming,WY,2001,Wyoming Fire Chiefs,Bradley A. Sarff,Robert L. Taylor
Wyoming,WY,2001,Wyoming Society of CPA's,Renee M. Brower,Lois A. Huff,Monte L. McNamee
Wyoming,WY,2001,RSP of Wyoming,Ruth C. Sommers
Wyoming,WY,2001,IUPA,Lloyd Eckstein,Nancy Forrest Eckstein
Wyoming,WY,2001,Tri County Telephone Assn.,Donald C. Jackson
Wyoming,WY,2001,Powder River Basin Resource Council,Vickie Goodwin,Jill R. Morrison
Wyoming,WY,2001,"Wyoming Wildthings, Inc.",Phillip R. Steel
Wyoming,WY,2001,Wyo. Medical Society,Wendy P. Curran
Wyoming,WY,2001,University of Wyoming,Richard H. Miller
Wyoming,WY,2001,Novartis Pharmaceuticals,Barbara A. Christensen-Boner
Wyoming,WY,2001,American Heart Association,Janice D. Drury
Wyoming,WY,2001,School District No. 9,B. Weldon Shelley
Wyoming,WY,2001,Wyoming Territorial Park Corp.,Jennifer J. Goodman
Wyoming,WY,2001,State Farm Insurance Co.,Rodger McDaniel
Wyoming,WY,2001,Wyoming Business Alliance,"William ""Bill"" C. Schilling"
Wyoming,WY,2001,R.J. Reynolds Tobacco Company,Steven R. Cranfill
Wyoming,WY,2001,Wyoming Stock Growers Assn.,James H. Magagna
Wyoming,WY,2001,"Coastal Chem, Inc.",Philip G. Morrow
Wyoming,WY,2001,Sublette County School Dist. #1,Thomas R. Burns
Wyoming,WY,2001,Independent,Dean R. Greenwalt
Wyoming,WY,2001,AARP/WRTA,Dwayne B. Trembly
Wyoming,WY,2001,Sheridan County School District 1,Rodney C. Svee
Wyoming,WY,2001,"Kraft Foods North America, Inc.",Virginia T. Corwin
Wyoming,WY,2001,Wyo Fire Chiefs,Russ Wenke
Wyoming,WY,2001,AAUW - American Association,Nina Svoboda
Wyoming,WY,2001,"BP America, Inc.","John B. Rigg, Jr."
Wyoming,WY,2001,Kennedy Western University,Gregory C. Dyekman
Wyoming,WY,2001,First American Title Ins. Co.,Robert L. Bailey
Wyoming,WY,2001,National Association of Independent,W. Perry Dray
Wyoming,WY,2001,Black Hills Corporations,Barbara B. Thirstrup
Wyoming,WY,2001,LCSD #1,Jan A. Stalcup
Wyoming,WY,2001,Federated Fire Fighters of WY,Jon M. Narva
Wyoming,WY,2001,Dakota Minnesota & Eastern Railroad,Sami L. Falzone,Jack D. Palma,Lawrence J. Wolfe
Wyoming,WY,2001,Northern Arapaho Business Council,Andrew W. Baldwin
Wyoming,WY,2001,Crook Co. School Dist. #1,Kevin R. Sweeney
Wyoming,WY,2001,Wy. Chapter of Natn'l Assn.,Jack A. Carroccia
Wyoming,WY,2001,BNSF RR,Cathy Norris
Wyoming,WY,2001,Brotherhood of Locomotive Engineers,Terry R. Jones
Wyoming,WY,2001,Wyoming Ethanol,Glancey T. James,Jeff R. Lundberg,Marian J. Schulz
Wyoming,WY,2001,Big D Oil Co.,Steve H. Merchen
Wyoming,WY,2001,Devon Energy Corporation,Gary L. McGee,Margo H. Sabec,Dylan Waddle,Gary Wade
Wyoming,WY,2001,Wyoming Outdoor Advertising Assn.,Mark E. Macy
Wyoming,WY,2001,Wyoming Economic Development,Paula K. McCormick
Wyoming,WY,2001,Chevron Texaco,Christopher L. Chambers
Wyoming,WY,2001,Wyoming State Bar,Frederick D. Lewis
Wyoming,WY,2001,MADD,Steve D. Chasson
Wyoming,WY,2001,Wyoming Game Wardens Assn.,Roger A. Bredehoft
Wyoming,WY,2001,Wyoming Public Employees Assn.,Betty Jo Beardsley,Robert D. Kuchera,Dennis P. Smyth
Wyoming,WY,2001,Wyoming Chamber of Commerce,Carole Perkins
Wyoming,WY,2001,Wyoming Republican Party,Becky Costantino
Wyoming,WY,2001,Wyoming Assn. Sheriff & Chiefs,Mike Hays
Wyoming,WY,2001,Self,Herbert A. Hampton,Shannon Jeanette Parsons,Nedalyn D. Testolin
Wyoming,WY,2001,Wyoming National Guard Assoc.,Rhett C. Shumway
Wyoming,WY,2001,Wyoming Mortgage Lenders,Robert K. McBride
Wyoming,WY,2001,Wyoming Water Association,George A. Bartholomew
Wyoming,WY,2001,National Assoc. of Independent Ins.,Randall B. Reed
