Lobbyist,Client
A. Richard Walje,
A.F. (Tony) Gagliardi,National Federation of Independent Business
Aaron J. Bannon,National Outdoor Leadership School
Adam S. Peer,Nat'l Association of Professional Employer
Andrew C. Emrich,Stanley Energy Corporation
Anna Edwards,NAMI Wyoming
Aubrey K. Hutchings,Coach America Crew Transport
Becky Vandeberghe,WY Watch Family Action
Ben J. Limas,People First of Wyoming
Betty Iverson,Johnson & Johnson
Bill Gentle,Wyo Horse Council
Bill McIlvain,Small School District Coalition
Bill McIlvain,"AstraZenee Pharmaceuticals, LP"
Bill Schilling,Wyoming Business Alliance
Billie R. Edwards,"Attitude Collection, LLC"
Brad M. Enzi,"North American Power Group, LPD."
Brenda S. Nation,American Council of Life Insurers
Brent E. Gale,PacifiCorp/Rocky Mountain Power
Brent R. Kunz,Anschutz Corporation
Bret A. Fox,Science Applications International Corp.
Bret A. Jones,George K. Baum & Company
Brett Moline,Wyoming Farm Bureau Federation
Brian Lorenz,People First of Wyoming
Britt Barnhart,People First of Wyoming
Bruce A. Hinchey,Petroleum Association of Wyoming
Bruce Burkland,Wyoming Youth Services Association
Bruce S. Asay,Union Telephone Company
Bruce T. Moats,Wyo Press Association
Bryce R Reece,WY Assn. of County Predatory Animal Boards
Byron F. Oedekoven,Wyoming Association of Sheriffs and Chief
C-WISH,Jade Energy Associates
Carla F. Dierks,People First of Wyoming
Carrie Herbertson,National Rifle Association of America
Chad D. Calvert,BP America
Chance J. Vasquez,Father Factor
Charlene M. Murdock,MDU Resources Group
Charles Curley,
Charles E. Ware,Wyoming Liberty Group
Charlie Luke,Lobbyist for School Improvement Network
Cheryl L. Sorenson,Petroleum Association of Wyoming
Cheryl Riley,Wyoming Power Producers Coalition
Christine A. Jones,
Christopher Cox,National Rifle Association of America
Clair A. Schwan,Americans for Liberty and Limited
Connie J. Glassman,Wyoming Public Employees Association
Cristina Collings,Equality State Policy Center
Cynthia A. Pomeroy,Mtn West Farm Bureau Ins
Cynthia M. Laubacher,"Medco Health Solutions, Inc."
D. Sharon Fain,Black Hills Corporation
Dale G. Steenbergen,Greater Cheyenne Chamber
Dale W. Cottam,"Hirst Applegate, LLP"
Dallas J. Scholes,Williams
Dan B. Sullivan,Alliance of Automobile Manufacturers
Dan J. Kunsman,Casper Re-Entry Center
Dan J. Lex,Quality Health Care Foundation
Daniel H. Neal,Equality State Policy Center
Daniel J. Perdue,Wyoming Hospital Association
Dave L. Thompson,Gadsden Legal LLC
David C. Picard,Alliance of Automobile Manufacturers
David D. Uchner,American Council of Life Insurers
David Johnson,Wyoming Association of Muncipalities
David M. Dederichs,"Express Scripts, Inc."
David R. Hansen,People First of Wyoming
David R. Johnson,Wyoming Bankers Association
David S. Hester,WLRA
Deanna L. Frey,Wyoming Children's Action Alliance
Deborah K. Thomas,Poweder River Basin Resource Council
Dennis E. Ellis,Anadarko Petroleum
Diana Stoick,Credit Union Association of Wyoming
Dick Hartman,Union Pacific Railroad
Don C. Richards,University of Wyoming
Don O. Hill,BLE & T
Don O. Hill,"Sierra Club, Wyoming Chapter"
Don Stoen,WREP
Don Warfield,Wyoming School Psychology Association
Donald Brent Taylor,Wyoming Trucking Association
Donald C. Jackson,"Tri County Telephone Association, Inc."
Donald R. Morris,AARP Wyoming
Donny E. Munger,Wyoming Fire Chiefs
Duncan D. Philp,A.B.A.T.E. fo Wyoming
Dwayne B. Trembly,WREP
E. Faith Havens,March of Dimes
"Edwards & Johnson, Attorney, LLC",Rocky Mountain Food Industry Association
Elizabeth A. Brimmer,Casper ReEntry Center
Ellen Merchant,People First of Wyoming
Eric A. Waters,Coach America Crew Transport
Eric J. Wedell,Wyoming Medical Society
Eric V. Miller,
Erik C. Rasmussen,City of Cheyenne
Erin Begeman,WY Assoc. of Mental health & Substance
Erin Taylor,Wyoming Taxpayers Association
Eugene G. Hardy,Hardy Ranch LLC
Eugene G. Hardy,Wyoming Farm Bureau Federation
Frank Smith,
Fred David Searle,Marathon Oil Corporation
Garth R. Alston,Altria Client Services Inc. and its Affiliates*
Gene A. Roland,SourceGas
Gene R. Diedtrick,Wyoming Fire Chiefs' Association
Gene R. Diedtrick,Wyoming Stock Growers Ag Land Trust
George Garcia,People First of Wyoming
George H. Parks,Wyoming Association of Municipalities
George Z. Costopoulos,Father Factor
Gerrie E. Bishop,WY Clerk of District Court Association
Gingee M. Prince,Enhanced Capital
Grant W. Nash,People First of Wyoming
Greg C. Jarvis,Fremont County School District
Greta S. Morrow,C-WISH - Grassroots Organization of
Grier W. Bailey,CWPMA - Wyoming Petroleum Marketers
H. L. Jensen,W.C.T.A.
Heidi Hopkins,The Humane Society of the United States
Heidi P. Van Huysen,The Children's Hospital
Helen Nicodemus,People First of Wyoming
Howard X. Carson,Andiamo/Sprint Telecom
James H. Magagna,Wyoming Stock Growers Association
James Hamilton,"LifeLock, Inc."
James Hoover,Bayer HealthCare LLC
James J. Cole,"K12, Inc."
James L. Angell,Wyoming Press Association
James Phillip Grabrick,
James T. Sims,Western Business Roundtable
James T. Sims,Wyoming Medical Center
Jana H. Ginter,AARP Wyoming
Janet L. Anderson,WY Federation of Republican Women
Janet L. Anderson,Wyoming Automobile Dealers Association
Jason Begger,RioTinto Energy America
Jason M. Sanchez,
Jason Mincer,American Cancer Society Cancer Action
Jason P. Hendricks,Advanced Communications Technology Inc.
Jay E. Lyon,FMC Wyoming Corporation
Jeff S. Kehl,Wyo Fire Service
Jeff Woodhouse,Pharmaceutical Research and Manufacturers
Jim R. Logan,Fremont County School District #24
