Lobbyist,Client
Thomas E. Adams,Wyoming Highway Patrol Assn.
Alphonse Michael Alfano,Brown & Williamson Tobacco Co.
James R. Allen,
Naomi Allen,AARP
Carole S. Anderson,"First Church of Christ, Scientist"
Lawrence C. Anderson,Wyoming School Board Assn.
James E. Andrews,Wyoming Assn. of Correctional
John G. Andrikopoulos,
Judy Kay. Andrikopoulos,Rancher
Shaun G. Andrikopoulos,
James. L. Angell,Wyoming Press Association
Marvin N. Applequist,Wyoming Farm Bureau Federation
Bess Arnold,AARP
Bruce S. Asay,Associated Legal Group
Mary Jo Atherton,WY Psychological Assn.
Alfred A. Atkins,Wyoming School Board Assn.
Larry G. Baesler,Wyoming Wildlife Federation
Robert L. Bailey,First American Title
Andrew W. Baldwin,Northern Arapaho Tribe
Rebecca E. Baker,International Code Council
Linda C. Barker,Wyoming Federation of
Michle M. Barlow,Wyoming Outdoor Council
Andrew W. Baldwin,Northern Arapaho Tribe
Linda Barefoot,Purdue Pharma
Michele M. Barlow,Wyoming Outdoor Countil
George A. Bartholomew,Wyoming Municipal Power Agency
Shawn A. Bassham,March of Dimes
Charles R. Bates,
Rusty Bayles,General Chemical
Betty Jo Beardsley,Wyoming Public Employees Assn.
I. L. Beidleman,The Arc of Laramie County
Ruth V. Bell,
Nick J. Bettas,The Pittsburg & Midway Coal
Budd Betts,Wyoming Outfitters & Guides Assoc.
Ronald J. Binz,AARP Wyoming
William J. Birkett,Wyoming Chapter NECA
Lynn Birleffi,Wyoming Travel Industry Coalition
John C. Bishop,NECA - National Electrical
Stan L. Blake,United Transportation Union
Jerry Blann,
Mike Blenkush,Powder River Energy
Michael E. Bohl,Wyoming Bank & Trust
Kevin D. Bohnenblust,Wyoming Psychiatric Society
Earnest K. Bostick Jr.,Crescent B Outfitters
Jeri A. Bottenfield,Senior Friendship Center
Dru Bower,Petroleum Assn. of Wyoming
Deb Braten,Wyoming Outfitters &
Rosemary Bratton,Wyo. Coalition against Domestic
Roger A. Bredehoft,Wyoming Game Wardens Assn.
Sharon Breitweiser,Wyoming NARAL
Liz A. Brimmer,Jackson Hole Mountain Resort
Reid M. Buckley,Orion Energy LLC
Bruce Burkland,
Thomas R. Burns,Sublette County School District 1
David A. Butterfield,Wyoming Outdoor Advertising
Joanne Bowlby,AARP
Renee M. Brower,Wyoming Society of CPA
James W. Bunch,Black Hills Power
Phillip B. Burchell,Wyoming Auto Dealers
Linda Burt,American Civil Liberties Union
