Lobbyist,Client
Aaron R. Owens,Wyoming College Democrats
Al Atkins,Wyoming School Boards Admin.
Alan M. Garrison,W.A.C.E.
Alyssa E. Legg,
Amanda Hunkins,Wyoming Trial Lawyers Assn.
Ami R. Barker,Uinta County Farm Bureau
Andrew A. Aragon,
Andrew W. Baldwin,Northern Arapaho Tribe
Arthur T. Badgett,Wyoming Assn. of Municipalities
B. Weldon Shelley,School Dist. No. 9
Bailey K. Schreiber,
Barbara A. Christensen-Boner,Novartis Pharmaceuticals
Barbara B.Thirstrup,Black Hills Corporation
Barbara E. Bonds,City of Torrington
Barry G. Johnson,Barry & Johnson Consulting
Becky A. Vandeberghe,
Ben D. Lamb,Wyoming Conservation Voters
Berthenia J. Crocker,Northern Arapaho Tribe
Betty Iverson,Wyeth
Betty Jo Beardsley,Wyoming Public Employees Assn.
Bill D. McIlvain,Small School Coalition
Bill Garland,
Bobbie K. Frank,Wyoming Assn. of Conservation Dist.
Brad Sarff,City of Rock Springs
Brenda J. Ilg,
Brent R. Kunz,PacifiCorp
Bret Vance,Laramie Firefighters Assn.
Brian Leugs,Pharmaceutical Research &
Bruce Burkland,Wyoming Youth Service Assn.
Bruce Hinchey,Petroleum Assn. of Wyoming
Bruce S. Asay,"WTA & Members, Range Tel. Union"
Bruce T. Moats,Wyomnig Press Assn.
Bryce R. Reece,Wyoming Wool Growers Assn.
Byron F. Oedekoven,Wyoming Assn. of Sheriffs & Chiefs
Carol K. Watson,NARAL
Carole A. Liebzeit,St. John�۪s Medical Ctr. Foundation
Carole Perkins,Wyoming Chambers
Carole S. Anderson,"The First Church of Christ, Scientist"
Carolyn L. Herbertson,National Rifle Assn.
Carolyn Paseneaux,AARP
Cathy L. Gonzales,AARP
Cathy Ridenour,Assn. of Wyoming Insurance Agents
Charlene Murdock,MDU Resources
Charles E. Ware,Wyoming Contractors Assn.
Charles G. Simino,SPRINT
Charles Grove,Sublette Co. School District #1
Charles N. Monk,Big Horn Rural Electric
Charles W. Custis,AARP
Charlos Bates,
Cheryll M. Howard,Self
Chris R. Holden,Casper Chamber of Commerce
Christopher J. Schneider,Northern Arapaho Tribe
Christopher P. Cruver,
Cindy Knight,WY Youth Services Assn.
Clark A. Fairbanks,Wyoming Youth Services Assn.
Clayton E. Turner,Natrona County Medical Society
Clint W. Ensign,Sinclair Oil Corporation
Connie J. Glassman,Wyoming Public Employess Assn.
Cory J. Stirling,Natrona County Medical Society
Craig P. Smith,Natrona County Medical Society
Dan B. Sullivan,Philip Morris Inc. through its service
Dan Carlat,Johnson Co. Farm Bureau
Dan J. Lex,Quality Health Care Foundation of
Dan V. Young,
Dana H. Gage,ABATE of Cheyenne
Daniel D. Johnson,Chevron USA Inc. and the other
Daniel J. Perdue,Wyoming Hospital Assn.
Darla G. Rhodes,Hot Springs CO Farm Bureau
Darren W. Hart,"Barlow Agency, Inc."
Dave Johnson,Wyoming Association of Municipalities P.O. Box 3110
David A. Block,"Attention Homes, Inc."
David C. Picard,"The Wyoming Group, LLC"
David D. Uchner,American Insurance Assn.
"David J. Valencia, Jr.",
David R. Conn,McLeodUSA Incorporated and its
David S. Petrie,Tom Brown Inc.
Deanna L. Frey,Wyoming Childrens Action Alliance
Debbie Herbst,Fremont County School District #24
Deborah Vane Robinett,Wyoming Psychiatric Society
Dennis P. Smyth,Wyoming Public Employees Assn.
Dennis Pince,Fremont County School District #24
Diane B. Bircher,St. John�۪s Medical Center
Diane E. McGrath,Astra Zeneca Pharmaceuticals
Diane M. O�۪Keefe,Wyoming Dental Assn.
Don Huber,Wyoming Fire Chiefs
Don Thai,Natrona County Medical Society
Donald B. Taylor,Wyoming Trucking Association
Donald C. Jackson,Tri County Tel. Assn.
Donald E. Coovert,RAG Amercian Coal Company
Donald R. Smith,Natrona County Medical Society
Donna J. Mattinson,Wyoming Youth Service Org.
Donna J. Smith,Natrona County Medical Society
Doreen G. Garrison,Wyoming Assn. of Correctional
Dorothy E. Cronin,Brain Injury Assn. of Wyoming
Douglas E. Thierwechter,Marathon Oil Company
Drake D. Hill,"Nautius Resouce, LLC"
Dru Bower,Petroleum Assn. of Wyoming
Duane Stolns,Wyo. Fire Chiefs
Dwayne A. Sells,ABATE of Cheyenne
Dwayne B. Trembly,WRER/AARP
Dylan Waddle,Devon Energy Corporation
E-mail Address,The Pittsburg & Midway Coal Mining Co.
E-mail Address,"Kinder Morgan, Inc."
E-mail Address,Kinder Morgan Inc.
E-mail Address,Marathon Oil Company
E-mail Address,"Kinder Morgan, Inc."
Elixabeth A. Wasson,WINhealth Partners
Elizabeth B. Luce,Assn. of Wyoming Insurance Agents
Eric Munoz,Natrona County Medical Society
Eric V. Miller,
Erin N. Taylor,PacifiCorp
Eugene R. Waite,WACE
Evelyn ���K�۝ Maulfair,SR Citizens Disability Act
Frank L. Cady,Citizen
Gary Collins,Shoshone & Arapaho Tribe
Gary L. McDowell,Wyoming Education Assn.
Gay Woodhouse,Plaintiffs in Annexation Cases
Gene P. Diedtrich,Wyoming Fire Chiefs Assn.
Gene Roland,"Kinder Morgan, Inc."
George A. Bartholomew,Wyoming Municipal Power Agency
George Parks,Wyoming Association of Municipalities
George S. Minder,Niobrara Hospital District
Georgia Johnson,
Greg Jarvis,Fremont County School Dist. # 24
Greg Schaefer,"Arch Coal, Inc."
Gregory C. Dyekman,Kennedy Western University
Gregory J. Bijak,Natrona County Medical Society
H.L. Jensen,Wyo. Cable TV Assn.
Helen G. Levine,
Helen K. James,Johnson Co. Farm Bureau
Jack Carroccia,Wyo. Chapter of NAIFA
Jackie Van Mark,"MDU Resources Group, Inc."
Jake (Jay) L. Parmer,American Strategies Inc.
James E. Thompson,McLeodUSA Incorporated and its
James H. Magagna,WY Stock Growers Assn.
James I Maxfield,"Solvay Chemicals, Inc."
James M. Geesey,Mountain West Farm Bureau
James P. Hageman,Community Alternatives
James R. Thurman,Shell Oil Company
James W. Washburn,Natrona County Medical Society
Jan Drury,American Heart Assn.
Jana H. Ginter,
Janet Maxwell,WY Wildlife Federation
Janine M. Teske,
Jannice E. Alvaney,
Jared C. Adamo,
Jaren J. Howard,Devon Energy Corporation
Jason C. Marsden,WY Conservation Voters
Jay E. Lyon,FMC Wyoming Corp.
Jean Hayek,Wyoming Education Assn.
Jeanne Teichert,
Jerry Erdahl,Fremont County School District #24
Jill J. Lucero,UW Alumni Association
JimAllen,Self
JimAngell,Wyoming Press Association
Jodi Kaigh,Natrona County Medical Society
Jody Downey,Fremont County School District #24
Jody L. Levin,Qwest Communications of Wyoming
Jody Vannon,
