Lobbyist,Client
Aaron C Tifft,Self
Aaron Carr,Fremont County School District # 24
Aaron J. Bannon,National Outdoor Leadership School
Annette M. Monserrate,Self
Anthony J. Sacco,
B. Christopher Robisch,"Contact Communications, Inc."
Barbara A. Christensen-Boner,Novartis Pharmaceutcals
Barbara E. Bonds,"Medco Health Solutions, Inc."
Barbara E. Daniels,Wyoming All Breeds Racing Association
Barry G. Johson,Barry Johnson
Becky Vandeberghe,Wyoming Family Coalition
Betty Iverson,Wyeth
Beverly B. Goodman,Self
Bill Greer,self
Bill McIlvain,Small District Coalation
Bill Schilling,Wyoming Business Alliance
Bobby B. Sybert,Greater Yellowstone Coalition
Boe W. Surbeck,
Boe W. Surbeck,Cheyenne Light Fuel & Power
Brad E. Westby,Wyoming Contractors Association
Brad M. Enzi,"North American Power Group, LTD"
Brad Sarff,City of Rock Springs
Brenda Ilg,NARAL Pro-Choice Wyoming
Brenda Ilg,Fidelity Exploration Production Company
Brent R. Kunz,Exxon Mobil
Brett R. Moline,Wyoming Farm Bureau Federation
Brian C. Shuck,Office of Health Care Financing
Brittaney A. Caldwell,SWAT
Bruce A. Hinchey,Petroleum Association of Wyoming
Bruce Burkland,Wyoming Youth Service Association
Bruce L. Hansen,USW
Bruce S. Asay,Dubois Telephone
Bryce R. Reece,Wyoming Assn. of County Predatory Animal
Budd Betts,Wyoming Community Foundation
Byron F. Oedekoven,Wyoming Association of Sheriffs and Chiefs
Carole S. Anderson,Christian Science Churches of Wyoming
Carolyn L. Herbertson,National Rifle Association - ILA
Carolyn L. Paseneaux,Wyoming State Grange
Carolyn L. Paseneaux,Wyoming Association of Municipalities
Cathy M Purves,Trout Unlimited
Charles E. Greenhawt,Questar
Charles E. Ware,Wyoming Contractors Association
Charles W. Custis,WREPA
Cherri L. Lester,"Attention Homes, Inc."
Chris R. Christensen,Self
Cindy L. Christofferson,Self
Curt Collins,Fremont County School District # 24
Cynthia L. Biggs,Wyoming Association of REALTORS
Dan B. Sullivan,Alliance of Automobile Manufacturers
Dan J. Lex,AIG Insurance
Daniel C. Fuchs,"UST Public Affairs, Inc."
Daniel H. Neal,Equality State Policy Center
Daniel J. Kessler,Planned Parenthood of Wyoming
Daniel J. Perdue,Wyoming Hospital Association
Daphne D. Ramey,Wyoming Family Coalition
Dave T. Johnson,Wyoming Association of Municipalities
Dave Uchner,American Council of Life Insurance
David Bush,Sportsmen for Fish and Wildlife of Wyoming
David C. Picard,"Casper Medical Center, LLC"
David J. Graham,Wyoming Department of Agriculture
David J. Graham,Equality State Policy Center
David R. Johnson,"Wyoming Bankers Association, Inc."
David W. Simkins,Wyoming Association of Pre-hospital
Deanna L. Frey,Wyoming Childrens Action Alliance
Deborah K. Thomas,Powder River Basin Resource Council
Deborah K. Thomas,Marathon Oil Company
Dennis M. Hemmer,Wyoming Association of Conservation
Devon O'Conner Coleman,Wyoming Trial Lawyers Association
Diane Alexander,"AstraZeneca Pharmaceuticals, LP"
Don E. Stovall,"Wildhorse Energy, Inc."
Donald B. Taylor,Wyoming Trucking Association
Donald C. Jackson,Tri County Tel. Assn.
Donley G. Darnell,Self
Doreen Valdez,Self
Douglas E. Chandler,Dyno Nobel Inc.
Dru D. Bower Moore,
Dru D. Bower Moore,Gilead
Duncan D. Philp,ABATE of Cheyenne
Dwayne B. Trembly,AARP
Edith M. Ortega,"CenturyTel, In."
Edward Weppner,
Elizabeth A. Brimmer,Cycle Wyoming
Elizabeth Zerga,3M
Eric S. Barlow,self
Eric V. Miller,
Erin N. Taylor,Wyoming Taxpayers Association
Fran Cadez,ACLU
Frankie Addington,Self
Franz J. Camenzind,Jackson Hole Conservation Alliance
Fred David Searle,Marathon Oil Company
Fred David Searle,C.P.E.A.
Gary Amerine,Citizens Protecting the Wyoming Range
Gay Woodhouse,Cox Ranches LLC
Gene Hardy,Hardy Ranch LLC
Gene Lane,self
Gillian Malone,Powder River Basin Resource Council
Glenn Gordon,Self
Glenn Gordon,
Gray McGinnis,"Wal-Mart Stores, Inc."
Greg Jarvis,Fremont County School District # 24
Gregory C. Dyekman,"K12, Inc."
Greta S. Morrow,
Greta S. Morrow,"Budd-Falen Law Offices, LLC"
H.L. Jensen,Wyoming Cable T.V. Assn.
Harry E. Washut,Self
Ian D. Shaw,Wyoming Trial Lawyers Association
Ian D. Shaw,Campbell County Chamber of Commerce
J. Larry Romsa,Self
J.J. Healy,Citizens Protecting the Wyoming Range
James C. Kaste,Wyoming Hospital Association
"James E. Elliott, Jr.",AARP Volunteer
James H. Magagna,Wyoming Stock Growers Assn.
James I. Maxfield,"Solvay Chemicals, Inc."
James K. Massengill,Hoy's Drug
James P. Roberts,Embarq
James P. Roberts,Wyoming Chapter of the Sierra Club
Jan Alvaney,Self
Jan Alvaney,AARP
Jason C. Marsden,WY Conservation Voters
Jason M. Sanchez,Cheyenne Public Employees Assn.
Jason Mincer,Wyoming Education Association
Jean Hayek,Wyoming Education Association
Jeanette A. Skinner,Student at UW
Jeff E. Shaffer,Wyoming AFI-CIO
Jeff S. Kehl,Wyoming Fire Assn.
Jennifer N. Yates,Holiday Inn.
Jerold Lambert,Bresnan Communications
Jill R. Morrison,Powder River Basin Resource Council
Jim Allen,Self
Jim Angell,Wyoming Press Association
Jim L. Boreing,Self
Jim Logan,
Jim Rogers,Self
Jody Downey,Fremont County School District # 24
Jody L. Levin,Qwest
Joe D. Fender,IAFF
Joe D. Simmons,Self
John A. Francis,self
John C. McKinley,Sublette County
John D. Law,Equality State Policy Center
John D. Law,EnCana Oil and Gas
John G. Stange,Landowners Assn. of Wyoming
John L. Vanvig,Powder River Basin Resource Council
John P. McBride,Blue Cross Blue Shield of Wyoming
John R. Vipperman,Citizens Lobbyist
John S. Sullivan,Wyoming Association of Churches
John T. Robitaille,Petroleum Association of Wyoming
Jon Narva,Cheyenne Fire Fighters/Federated FF of WY
Jonathan E. Downing,Wyoming Contractors Association
Joseph C. Dobson,Self
Joseph Evans,Wyo County Commissioners Assn.
Joshua Joel R. Carnahan,Wyoming Associated Builders
Judith A. Lorenz,St. Stephens Indian School
Judy Catchpole,Jeffrey C. Wardle Academy Inc.
Judy R. Horton,WABRA
Judy R. Horton,Bayer Corp Pharmaceutical Division
Judy R. Horton,
Junius Jr. Elmore,Wyoming Professional Towing Assoc.
Karen G. Clark-Bond,Wyoming Ambulance and Emergency Medical
