Lobbyist,Client
Steven M. Adami,LAW
Elizabeth Zerga,3M Corporation
R. Ron Long,A.C.L.I.
"Roi G. Williamson, Jr.",AAA Mountainwest
Carolyn Paseneaux,AARP
Charles Custis,AARP
"James E. Elliott, Jr.",AARP
Melvin H. Gillispie,AARP
Naomi Allen,AARP
Phone,AARP
Ken Trowbridge,AARP Wyoming
Loretta L. Humphrey,AARP Wyoming
Timothy Summers,AARP Wyoming
John B. Harrison,"Access Business Group, Inc."
Valerie Seidel,Adult Community Corrections Program of
William J. Thomson,AFLAC
Dan J. Lex,AIG Insurance
Kelli J. Lesh,Amercian Cancer Society
Lorett C. Wolf,Amercian Cancer Society
Linda Burt,Amercian Civil Liberties Union
Brent R. Kunz,Amercian Heart Association
Beverly Jean Gross,American Cancer Society
Address,American Heart Assn.
Brendan M. Burns,American Heart Assn.
Jason S. Mincer,American Heart Association
Dan B. Sullivan,"American Strategies, Inc."
David C. Picard,"American Strategies, Inc."
Robert E. Rolston,Anadarko Petroleum
Richard T. Robitaille,Anadarko Petroleum Corporations
Brian Page,"Apple Computer, Inc."
Greg Schaefer,"Arch Coal, Inc."
Marian J. Schulz,Assn. Of Wyoming Insurance Agents
Lora L. Huston,"Association Communications, Inc."
Address,AstraZeneca Pharmaceutcials
Darren W. Hart,AWIA
Kenneth Leisher,Banner Health
Barry G. Johnson,"Barry G. Johson, Consulting"
William J. Stafford,Basin Electric
James Hoover,Bayer Corporation Pharmaceutical Divison
Samuel W. Sims,Bingo Industry
Larry Caller,Bitter Creek Brewing
Randy Harris,Black Hills Corporation
John P. McBride,Blue Cross Blue Shield of Wyoming
Rick F. Schum,BlueCross Blue Shield of Wyoming
Dorothy E. Cronin,Brain Injury Assn. Of Wyoming
Georgia B. Johnson,Brain Injury Assn. Of Wyoming
Terry R. Jones,Brotherhood of Locomotive Engineers and
Clifford D. Root,BT Inc.
Lawrence J. Wolfe,Burlington Resources
Sami L. Falzone,Burlington Resources
W. Perry Pearce,Burlington Resources
"Timothy Patrick Hallinan, M",Campbell County Memorial Hospital
Karen L. Stickney,Carbon County C.O.V.E.
Judy S. Catchpole,"Catchpole Enterprises, Inc."
Chris L. Chambers,Chevron Texaco
Scott D. Hinderman,Cheyenne Regional Airport
Kathleen H. Orton,Child Development Services of Wyoming
Fred Harrison,Citizen
Janine M. Thompson,Citizen
Keith Goodenough,Citizens for Progressive Action
Daniel H. Neal,Citizens for Real Insurance Reform
Shauna S. Roberts,Citizens for Real Insurance Reform
Mark P. Young,City of Casper
Lynne M. Whalen,"City of Casper, Wyoming"
Scott E. Alvord,City of Cheyenne
Diana Mahoney,City of Riverton
Lee E. Martinez,City of Riverton
Sandy K. Luers,City of Riverton
William A. Urbigkit,City of Riverton
Angelo Santiago,City of Rock Springs
Roy A. Turner,Colorado Wyoming Petroleum Marketers Assn.
Jim P. Hageman,Community Education Centers
George A. Schmidt,Concerned Citizen
Jana H. Ginter,Concerned Citizen
Sheryl L. Schmidt,Concerned Citizen
Drake D. Hill,"Continental Industries, LC"
John M. Walker,"Cotton Holdings, LLC"
Kevin R. Sweeney,Crook County School District #1
Terry B. Jones,Crop Improvement Association
Kerry P. Hall,Delta Dental Plan of Wyoming
Todd F. Ennenga,Devon Energy
Margo Harlan Sabec,"Devon Energy Corporation, PC"
Steven Cranfill,Dream Games of AZ
J.R. McPherson,Duke Energy Field Services
Philip G. Morrow,Dyno Nobel
Jaci Foster,Education
Stephen A. Reynolds,"EnCana Oil & Gas, USA, Inc."
Sarah A. Gorin,Equality State Policy Center
Tom Throop,Equality State Policy Center
United Transportation Union,Equality State Policy Center
Tom A. Jones,Executive and Legislative Services
Barbara E. Bonds,"Express Scripts, Inc."
Steven F. Freudenthal,"Express Scripts, Inc."
Jay A. Swedberg,Family Health Care PC
Mike Mores,Farmers Insurance
Rodney A. Olson,Federated FF's of Wyoming
Roger E. Peterson,Federated Firefighters
Vince J. Fate,Federated Firefighters of Wyoming
Joseph C. Icenogle,Fidelity Exploration & Production Co.
Robert L. Bailey,First American Title
Chad L. Hooker,First Interstate Bank
L. Bruce Hendrickson,First Interstate Bank
Robert L. Leibrich,First Interstate Bank
Jay E. Lyon,FMC Wyoming Corp
Donald E. Coovert,Foundation Coal Corporation
Steven R. Laird,"Foundation Coal West, Inc."
Bald Mt. Outfitters,Foundation for North American Wild Sheep
Teffany Fegler,Fremont County School District # 24
Michelle L. Hoffman,Fremont County School District #14
Aaron Carr,Fremont County School District #24
Debbie Herbst,Fremont County School District #24
Dennis Pince,Fremont County School District #24
Greg Jarvis,Fremont County School District #24
Jerry A. Erdahl,Fremont County School District #24
Jody Downey,Fremont County School District #24
Kay J. Watson,Fremont County School District #24
Larry Manchester,Fremont County School District #24
Rita Campbell,Fremont County School District #24
Zane Fross,Fremont County School District #24
Daniel F. Hudson,Fremont County School District 14
Paula K. McCormick,Fremont County Solid Waste Disposal District
Mary Keating-Scott,George K. Baum & Company
Larry Atwell,Greater Cheyenne Chamber of Commerce
Patricia A. Dowd,Greater Yellowstone Coalition
Maggie Macdonald,Green River Valley Land Trust
Georgia L. Young,HADASSAH
Victor L. McMurry,Halfmoon Lake Resort
Lynn Birleffi,Health Insurance Association of America
Marguerite A. Herman,"Healthy Mothers, Healthy Babies"
Ray L. Schulte,Hot Springs Co School District
David A. Emerick,HSBC
Harvey J. Humphrey,IBEW LU 415
Anduin H. Kirkbride,IGC Management Inc.
Brad Enzi,"IGC Management, Inc."
Kevin Keller,"IGC Management, Inc."
