Lobbyist,Client
Lynn M Achter,AARP
A F (Tony) Gagliardi,National Federation of Independent Buisness
Affie B Ellis,APS Healthcare
Andrew C Emrich,Ramaco LLC
Angela N Jarvis,Buffalo Chamber of Commerce
Anna Hansen,Wyoming Freedom
Anthony B Leichtweis,United Transportation Union
Arlen L Lancaster,The Nature Conservancy
Arlen L Lancaster,Wyoming Downs
Arlen L Lancaster,"Alpha Coal West, Inc"
Austin B DeBey,Mountain West Credit Unit Association
Barbara E Bonds,Natrona Co School District #1
Becky Vandeberghe,WyWatch Family Action
Betty Jo Beardsley,Wyoming Public Employees Association
Bill Bensel,Powder River Basin Resource Council
Bill D McIlvain,Small District Coalition
Bill Gentle,Wyoming Horse Council
Bill Schilling,Wyoming Business Alliance
Bob Bonnar,Wyoming Press Association
Bobbie K Frank,Wyoming Association Conservation Districts
Brad Shafer,Rocky Mountain Power
Bradford R Howard,Relatively concerned citizens
Brenda S Nation,American Council of Life Insurers
Brent R Kunz,Exxon Mobil Corp
Brian S Brown,National Organization for Marriage
Britanny R Vanderhoof,Polaris Project
Bruce A Hinchey,Petroleum Association of Wyoming
Bruce S Asay,MDU Resources
Bruce T Moats,Wyoming Press Association
Bryce R Reece,Independent ranchers
Byron F Oedekoven,Wyoming Association of Sheriffs & Chiefs of
Carlo Cannell,America's Natural Gas Alliance
Cathy L Gonzales,AARP
Charlie Luke,Waterford Institute
Cheri Steinmetz,Private Citizen
Cheryl A Riley,AT&T
Chestora I Lee,National Abortion Rights Action League
Chris Robisch,Contact Communications Inc
Christian J Rataj,National Assoc of Mutual Insurance
Christopher Douglas Dunsavage,American Heart Association
Christopher O Boswell,University of Wyoming
Cindy DeLancey,Wyoming County Commissioners Association
Cindy DeLancey,International Justice Mission
Clark A Fairbanks,Wyoming Youth Services Association
Clint W Ensign,The Sinclair Companies
Connie J Glassman,Wyoming Public Employees Association
Cory L Runion,Brotherhood of Locomotive Engineers &
Cory L Runion,Wyoming Assn of Sheriffs & Chiefs of Police
Cory N Toye,Trout Unlimited
Craig Steinley,Wyoming Chapter of the Appraisal Institute
Crystal J McDonough,Northern Laramie Range Alliance (NLRA)
Cynthia A Pomeroy,Cheyenne Regional Medical Center
Dale G Steenbergen,Greater Cheyenne Chamber of Commerce
Dallas J Scholes,Williams
Daniel B Sullivan,Alliance of Automobile Manufacturers
Daniel E White,City of Cheyenne
Daniel H Neal,Equality State Policy Center
Daniel J Perdue,Wyoming Hospital Association
Daniel P Genovese,Chesapeake Energy
David C Picard,Alliance of Automobile Manufacturers
David D Uchner,American Council of Life Insurers
David Evans,Federated Fire Fighters of Wyoming
David Root,Prime Therapeutics LLC
David Root,Anadarko Petroleum Corp
David S Haring,Wyoming Airport Operators' Association
David Ulane,Aircraft Owners & Pilots Association
Deborah K Thomas,Powder River Basin Resource Council
Deborah K Thomas,Wyoming Rural Electric Association
Deborah K Thomas,Wyoming Taxpayers Association
Dennis E Ellis,Anadarko Petroleum Corporation
Dennis M Hemmer,Wyoming Association of Conservation
Dennis M Hemmer,WY Assn Sheriffs and Chiefs
Diana K Wilkins,March of Dimes
Dixie S Johnson,Sheridan County Chamber of Commerce
Don N Wills,Wyoming Country Party
Donald E Munger,Wyoming Fire Service
Donald R Morris,AARP
Donald W Warfield,Wyoming School Psychology Association
Donna M Sheen,Wyoming Children's Law Center
Doreen G Garrison,Wyoming Association of Correctional
Doreen M Kaiser,Homeschoolers of Wyoming
Dru D Bower-Moore,Devon Energy
Dru D Bower-Moore,Wyoming Gun Owners
Dyno Nobel Inc,Tri County Telephone Association
Earl S Leighan,Self
Eileen Campbell,International Justice Mission
Eric J Wedell,Wyoming Coalition on Medicaid Expansion
Eric Nelson,Wyoming Downs
Erin Goff,Tata Consultancy Services
Erin L Begeman,Wyoming Assn of Mental Health Substance
Erin M O'Reilly,The American Heart Association
Frank Eathorne,Wyoming Liberty Group
Frank Eathorne,Independent Cattlemen of Wyoming
Frank N Moore,Wyoming Wool Growers Association
Frank N Moore,Wyoming Farm Bureau
Frankie Addington,Self
Fred D Searle,Marathan Oil Corp
Garth R Alston,Altria Client Services Inc & its affiliates
George G Byers,Rare Element Resources Inc
George Parks,Wyoming Association of Municipalities
Gerald F Munger,Wyoming Fire Service
"Gerald J Wood, Jr",Wyoming Press Association
Glenn S Januska,Wyoming Airport Operators Association
Graham McGaffin,The Nature Conservancy
Greg Herold,Wyoming Education Association
Greg Schaefer,Arch Coal Inc
Gunnar S Malm,Wyoming Association of Realtors
Hollis W Hackman,Wyoming Psychological Assoc
Hollis W Hackman,Brotherhood of Maintenance of Way Division
James H Magagna,WY Stock Growers Association
James Hoover,Bayer HealthCare LLC
James Hoover,Wyoming Airport Operators Association
James I Maxfield,Solvay Chemicals Inc
Jan A Stalcup,Wyoming Association of School
Jan Cartwright,Wyoming Primary Care Association
Jan Cartwright,Associated Builders & Contractors of
Jan Cartwright,"National Electrical Contractors Assoc, Wy"
Jan E Loftus,Homeschoolers of Wyoming
Jana Howard Ginter,AARP
Jason P Hendricks,Advanced Communications Tech
Jason S Begger,Cloud Peak Energy
Jason S Mincer,American Cancer Society
Jenifer E Scoggin,
Jennifer S Horvath,American Civil Liberties Union of Wyoming
Jennifer S Nevins,Platte County Memorial Hospital
Jeralee E Salmon,Equality State Policy Center
Jessica A Sweeney,Mountain States Chapt of Paralyzed Veterans
Jessica Wolfe,Allergan Inc
Jessica Wolfe,March of Dimes
Jessie R Dafoe,Wyoming Agriculture in the Classroom
Jessie R Dafoe,Wyoming Retired Education Personnel
