Lobbyist,Client
Gregory F. Allen,AT&T
Naomi Allen,AARP
Randy L. Almaguer,McLeodUSA Incorporated
Donald R. Amend,
Donald R. Amend,W.A.S.A.
Jim Angell,Wyoming Press Association
Lanny Applegate,
Bess L. Arnold,AARP
Bess L. Arnold,"Range Telephone	Front Street"
Larry T. Atwell,Greater Cheyenne Chamber of
Richard D. Avey,Wyoming Game Wardens Assoc.
George W. Bagby,United Transportation Union
George W. Bagby,First American Title
Andrew W. Baldwin,Northern Arapaho Tribe
Judy E. Banister,Self-Employed
George A. Bartholomew,Basin Electric Power Cooperative
George A. Bartholomew,A.F.L.
Betty Jo Beardsley,Wyoming Public Employees Assn.
Craig H. Beck,Fremont County School District
Ruth V. Bell,Wyoming Education Association
Nancy Bennett,American Cancer Society
Nancy Bennett,The Pittsburg & Midway
Susan L. Bigelow,Campbell County Econ. Dev. Corp.
Wendy H. Bilek,Powder River Coal Company
Lynn L. Birleffi,"HIAA, Rky Mt. Food"
Lynn L. Birleffi,WAMHSAC
John C. Bishop,National Electrical Construction
Stan L. Blake,United Transportation Union
Richard Lane Blakeley,Utility Workers Union of America
Richard Lane Blakeley,"Union Pacific Resources Group, Inc."
Mike A. Blenkush,Powder River Energy Corporation
John (Mac) M. Blewer,Wyoming Outdoor Council
Jim Blundell,Western Wireless Corp.
Jim Blundell,Blue Cross Blue Shield
Larry J. Bourret,Mountain West Farm Bureau
Harold A. Bovee,
Francis Lester 'Les' Bowron,U.S. West
Richard W. Bratton,Black Hills Corporation
Richard W. Bratton,Wyoming Coalition Against
Roger A. Bredehoft,Wyoming Game Wardens Assoc.
Wayne Bress,U.W. Alumni Assoc.
Kim L. Briggs,VALIC
Tom L. Broadway,United Transportation Union
Byron T. Brown,"The People of LaBarge, Etc.	Phone"
Carvel Richard Brown,"Youth for Justice/Central High Sch.	Phone"
Kelly K. Brown,Wyoming Assoc. of Conservation
George G. Byers,Rio Algom Mining Corp.
Thomas E. Campbell,Wyoming Assoc. of Mental Health
Alfred Jack Carroccia,Farmers Insurance Group
Shirley R. Carson,Carson & Associates Inc.
Mary Lou Chapman,Rocky Mtn. Food Industry
George Chavez,
Chris Christenson,Wyoming Education Assn.
Sandy Christie,Park Co. SD #6
Sandy Christie,Mountain West Farm Bureau
Thomas H. Clayson,Petroleum Association of Wyoming
Douglas A. Cobb,"Weston County School District #1	Phone"
Rhonda L. Coleman,Powder River Basin Resource
Kenneth L. Cook,U.W. Alumni Assoc.
Malcolm L. Cook,A.A.R.P.
Lora L. Coomes,Wyoming Auto Dealers Assoc.
Donald E. Coovert,R.A.G. American Coal Company
Barry A. Counts,SPRINT
Will N. Cox,Operating Engineers Local 3
Steven R. Cranfill,R.J. Reynolds Tobacco Company
Tim J. Crilly,Blue Cross Blue Shield of WY
Tim J. Crilly,Wyoming Society for Respiratory Care
Marvin H. Cronberg,Wyoming Dental Association
Dennis E. Curran,Cheyenne Board of Public Utilities
Wendy P. Curran,Wyoming Medical Society
Chuck William Custis,AARP
Chuck William Custis,WEDA/SWEDA
Roberta M. Darnall 15 Snowy View,U.W. Alumni Assoc.
Donley Darnell 1331 Morrisey Rd.,Mid-States Coalition for Progress
Nancy Darnell,Mid-States Coalition for Progress
Alex Davidson,Wyoming.com
Alex Davidson,"Mid-States Coalition	Phone"
Gene R. Diedtrich,
Haydee' J. Dijkstal,"Youth for Justice/Central High Sch.	Phone"
J. Chris Dobbs,Exxon Mobil Corporation
Jeff L. Dodd,"United Steelworker's of America	Phone"
Jeff L. Dodd,Wyoming Coalition Against
Perry W. Dray,Motion Pictures Assoc. of America
Gregory C. Dyekman,Delta Dental of Wyoming
Gregory C. Dyekman,WY Rural Electric Assn.
Billie Ruth Edwards,American Civil Liberties Union
Robert A. Ely,WEA
Kathy C. Emmons,Wyoming Childrens Action
Clint W. Ensign,Sinclair Oil Corp/Little AmericaSinclair
Clint W. Ensign,WY County Commissioners Assn.
Sami L. Falzone,Dakota Minnesota & Eastern
John M. Faunce,Wyoming State AFL-CIO
Vincent J. Fate,Federated Fire Fighters of WY
Vincent J. Fate,The Arc of Wyoming
"Blake O. Fisher, Jr.",McLeodUSA Incorporated
Kim A. Floyd,WY Wildlife Federation
Randy L. Ford,Life Ins. & Estate Plannng
Diane M. Foster,Wyoming Property Rights
Diane M. Foster,University of Wyoming
William G. Foy,University of Wyoming
Sheila D. Foertsch,"Wyoming Trucking Assoc., Inc."
Bobbie K. Frank,WY Assoc. of Conservation
Bobbie K. Frank,"KN Energy, A Division of"
Kelli L. Fritts,American Cancer Society
Jack A. Fulton,The Western Sugar Company
Melvin H. Gillispie,"AARP	Phone"
James W. Goelz,
James W. Goelz,Equality State Policy Center
Kimberely C. Graf,CWA Local 7601
David G. Gregory,Vision 2000
John W. Guy,UW Alumni Association
Stig Hallingbye 4011 Grays Gable,UW Alumni Association
Stig Hallingbye 4011 Grays Gable,WY Coalition Against Domestic
Jacqueline H. Harrod,Wyoming Education Association
Richard M. Hartman,Union Pacific Railroad
Elaine D. Harvey,Developmental Disability
Carol E. Havlik,Wyoming Game Warden Assoc.
Carol E. Havlik,"Wyoming Education Assn.	Phone"
Jim Hefenieder,Wyoming Farm Bureau Federation
Dan Heilig,WY Outdoor Council
Bruce W. Heimbuck,Platte Co. School District #2
Ed Heintz,Pfizer Inc.
Ed Heintz,City of Riverton
Harold Hellbaum,University of Wyoming
Shawn K. Hemenover,Plumbers & Pipefitters Local #192
Marguerite A. Herman,State PTA
Marguerite A. Herman,WY Chapter American
Paul J. Hickey,"KN Energy, A Division of"
William Lee Hickman,Wyoming National Guard Assn.
David L. Highers,Basin Electric Power Cooperative
David L. Highers,U.S. West
Cathy A. Homar,Campbell Co. Chamber
Michael A. Howe,Wyoming Municipal Power Agency
Lois A. Huff,Wyoming Society of CP's
Lois A. Huff,"Self-Employed	Phone"
Michael D. Huttner,American Heart Association
Ron Iversen,WY Game Wardens Assn.
George B. Jackman,Union Steelworkers Local 15320
Donald C. Jackson,Tri County Telephone Assn.
Donald C. Jackson,Univ. of Wyoming Alumni
Heather N. Jarvis,Univ. of Wyoming Alumni
Joe R. Jelaca,General Chemical Soda
Kathryn A. Jenkins,Wyoming Trial Lawyers Assn.
H.L. Jensen,Wyoming Cable T.V. Assoc.
H.L. Jensen,Wyoming Banker's Association
Tom R. Johnson,US West
Tom A. Jones,NFIB/Wyoming
Tom A. Jones,Wyoming Alfalfa Seed Growers
Bill N. Joplin,TranSystems Corp.
Tom B. Jubin,Wyoming Trial Lawyers Assn.
Sherlyn A. Kaiser,WY Assoc. of Realtors
Sherlyn A. Kaiser,Burlington Northern
Richard L. Kaysen,Cheyenne Light Fuel and Power
Mary J. Keating-Scott,George K. Baum & Company
Tim D. Kenny,United Transportation Union
Stephanie A. Kessler,Wyoming Outdoor Council
Phil E. Kiner,W.P.E.A.
Lindi L. Kirkbride,League of Women Voters
Roberta M. Kirscht,AT&T
Robert R. Knappenberger,Wyoming Assoc. of Mental Hlth. &
Richard Knoespel,Wyeth-Ayerst Laboratories
Bill Korhonen,United Steelworkers of America
Mary L. Lankford,UW Alumni Association
"Glenn A. Lansberry 1718 Arizona Green River, WY",United Steel Workers 15320
Thomas A. Lazzaro,McLeodUSA Incorporated
Chestora (Chesie) Lee,American Cancer Society
"Larry ""Cap"" L. Lee",
Martin P. Lenss,Wyoming Airport Operators Assn.
Tony Lewis,Wyoming State Bar
Kevin F. Lind,Powder River Basin Resource
Marion E. Loomis,Wyoming Mining Assoc.
Judith A. Lorenz,Weston County School District #1
Jay D. Lundell,Wyoming Airport Operators Assoc.
Jay E. Lyon,FMC Wyoming Corp.
James H. Magagna,Wyoming Stock Growers
Walter J. Maguire,Chevron Corporation
Mary L. Malone,CWA Communications Workers of
Dana J. Mann-Tavegia,
Patrick S. Martin,Federated Fire Fighters of
John P. Marton,Tri-State G&T
Janet M. Maxwell,Wyoming Chapter Sierra Club
Janet M. Maxwell,Wyoming School Boards Assn.
Kevin J. McCarthy,Brotherhood of Locomotive Eng.
Bob J. McCarty,"Self-Employed	Phone"
Ron B. McCue,Silver Star Comm.
Ron B. McCue,American Council of Life
Michael G. McDill,Campbell County
Bill McIlvain,Small School Coalition
Douglas R. McLaughlin,WEPAC
Douglas R. McLaughlin,US West
Steve Merchen,Big D Oil Co.
Gary L. Mines,FMC Corp.
Bruce T. Moats,Wyoming Press Association
Mary A. Monson,Wyoming Church Coalition
Mary A. Monson,Wyoming Church Coalition
Steve P. Montgomery,Union Pacific Resources
Dwight F. Moose,Weston Cty. S.D. #7
Mike G. Mores,Farmers Ins.
Bruce Morley,"The Morley Company, LLC"
Bruce Morley,Powder River Basin Resource
Philip G. Morrow,Coastal Chem. Inc.
Michael A. Moser,Wyoming State Liquor Assn.
Charlene M. Murdock,Campbell County Chamber
Charlene M. Murdock,Express Pipeline
Bill M. Murray 123 E. 17th Street,WY Assoc. of Ins. Agents
Mark L. Nelson,WY Game Warden's Assoc.
Cathy J. Norris,BNSF Railroad
Michael R. O'Donnell,Wyoming Trial Lawyers Assn.
Michael R. O'Donnell,Wyoming Airport Operators
Kathleen H. Orton,Developmental Disability Preschool
Viola M. Ose,"Laramie Co. Rep. Women	Phone"
Chris J.W. Oswald,"National Rifle Association, I.L.A."
Linda D. Padon,Texaco Group Inc.
Linda D. Padon,Dakota Minnesota & Eastern
George Parks,Wyoming Assn. of Municipalities
Kerry L. Paulson,UST Public Affairs Inc.
Mona L. Pearl,Wyoming Student Loan Corporation
Mona L. Pearl,Wyoming Hospital Association
Carole Perkins,Sherian County Chamber of
John Perry,WIEC
Denise L. Phifer,Operating Engineers Local Union #3
Cheyrl L. Phinney,Powder River Basin Resource
Cheyrl L. Phinney,United Transportation Union
William J. Pomeroy,Cheyenne Light
Michael K. Purcell,WY Assoc. of Consulting
Lynette K. Randleman,"Wyoming Dental Hygienists Assoc.	Phone"
Kelsey K. Rapp,"Youth for Justice/Central High Sch.	Phone"
Kelsey K. Rapp,WY Contractors Assoc.
Scott J. Ratliff,Shoshone Tribe
Bryce R. Reece,Wyoming Wool Growers Assoc.
Randall B. Reed,Express Pipeline Partnerships
Stephanie Reeves,Wyoming Assn. of Municipalities
Duane M. Ricord,Utility Workers Union of America
"John B Rigg, Jr.",BP Amoco Corporation
Randall E. Rings,McLeodUSA Incorporated
Richard T. Robitaille,Petroleum Association of Wyoming
Margo H. Sabec,Proceed
Bradley A. Sarff,City of Rock Springs
Greg Schaefer,"Arch Coal, Inc."
Bill Schilling,WY Business Alliance
Jonathan C. Schnal,Carbon County
Marian J. Schulz,AIA Wyoming
Rick F. Schum,Blue Cross Blue Shield of WY
Susan L. Sellers,US West
Susan E. Shaffer 1609 Rainbow,WY Tobacco Use Prevention
Marcia K. Shanor,WY Trial Lawyers Association
Norman R. Sherbert,The Polk Company
Norman R. Sherbert,U.W. Alumni Assoc.
Geoff M. Simon,"MDU Resource Group, Inc."
C. Richard �Dick� Skinner,"3M Traffic Control Materials	Phone"
Rosemary Skinner,University of Wyoming
Thorton Q. Skipper,Delta Dental Plan of WY
Thorton Q. Skipper,Univ. of Wyoming Alumni Assoc.
Dennis P. Smyth,Wy. Public Employees Assn.
Ruth C. Sommers,Regional Service Providers of
Emory W. Spiegelberg,U. W. Alumni Assoc.
Jim E. Stafford,
Jim E. Stafford,Enterprise Rental Co.
Carol Stearns,Wyoming Assn. of Municipalities
Molly M. Steel,Self-Employed
John A. Steil,Professional Land Surveyors of WY
John A. Steil,Wyoming Bankers Assoc.
Wendell G. Stewart,"Coastal Chem, Inc."
Mike R. Stufflebean,United Transportation Union
Michael G. Stull,
J. Tod Stutzman Stutzman Inc.,Wyoming Alfalfa Seed Growers
J. Tod Stutzman Stutzman Inc.,Airtouch Cellular
Sonja M. Sullivan,Self-Employed
Sonja M. Sullivan,Burlington Northern Santa Fe
Kenneth B. Sutton,Wyoming Fire Chief's Assoc.
Robert J. Symons,
Linda S. Tangeman,Wyoming State Bar
Robert M. Tarantola,PACIFICORP dba Pacific Power
Robert M. Tarantola,University of Wyoming
"Donald ""Brent"" Taylor",Wyoming Trucking Assn.
Gordon W. Taylor,WyomingAlumni
Robert L. Taylor,Wyoming Fire Chief's Assoc.
Douglas E. Thierwechter,Marathon Oil Co.
Douglas E. Thierwechter,Black Hills Corporation
Sandi Thomas,Wyeth-Ayerst Laboratories
Stephen D. Thomas,Greater Yellowstone Coalition
Stephen D. Thomas,AFLAC
Stephen D. Thomas,"Youth for Justice/Central High Sch.	Phone"
Susan A. Thompson,CTEA
Mary A. Throne,"KN Energy, A Division of"
Tom H. Throop,Equdity State Policy Center
Steven R Thulin,Wyoming Education Assoc.
Steven R Thulin,"Power Resources, Inc."
William M. Tibbs,"Self-Employed	Phone"
"Margaret ""Peggy"" C. Tobi",UW Alumni Association
Leo A. Tsimbinos,
Ken Tuma,United Transportation Union
Ken Tuma,WY Petroleum Marketers Assn.
David D. Uchner,American Insurance Assoc.
David R. Ulane,Wyoming Airport Operators Assn.
David R. Ulane,Wyoming State Liquor Association
Terry L. Ungricht,United Transportation Union
Laurie Urbigkit,WY Mfg. Housing Assoc.
Gary D. Valentine,Wyoming Airport Operators Assn.
Gary D. Valentine,Cheyenne Teachers Ed Assn.
Nancy L. Vandenberg,Coastal States Management Corp.
Phillip F. Van Horn,Wyoming Student Loan Corp.
Michael W. Walden-Newman,Wyoming Taxpayers Assoc.
Susie P. Wacker,WY Medical Society
Susie P. Wacker,Wyoming Athletic Trainers Assoc.
Danny N. Walker,Wyoming Public Employees Assn.
Charles E. Ware,Wyoming Contractors Association
Kay J. Watson,Fremont County School District
Kay J. Watson,"Jackson Hole Political Action Comm.	c/o James Weaver"
Russ G. Wenke Park County Fire,Wyoming Fire Chiefs
Ed Weppner,Wyoming Stock Growers Assn.
Lynne Marie Whalen,Natrona County Medical Society
Richard V. Wilcox,Retired Firefighters Assn. of WY
Richard V. Wilcox,Laramie Co. Fire Dist. #2
Loretta C. Wolf,Wyoming Assoc. of Mental Health
Lawrence J. Wolfe,
Casey T. Wood,WY Coalition Against Domestic
Mark P. Young,Wyoming Fire Chief's
Mark P. Young,"Wyoming Dental Hygienists Assoc.	Phone"
Elizabeth T. Zerga,"McLeodUSA, Inc"
Victor George Zerga,Sch. Dist. #21 Fremont County
Scott E. Zimmerman,Rocky Mountain Farmers Union
Scott E. Zimmerman,U.S. Army Environmental Center
