Lobbyist,Client
Adrianne Peterson,Wyoming Weed & Pest Council
Andrew C. Emrich,"Holland & Hart, LLP"
Anthony Bouchard,Wyoming Gun Owners
Aurelia Lemus,People First of Wyoming
Barbara Christensen-Boner,Novartis Pharmaceuticals Corporation
Barbara Rea,
Becky Vandeberghe,WYWATCH Family Action
Betty Jo Beardsley,WY Public Employees Association
Betty M. Iverson,Johnson & Johnson
Bobbie K. Frank,Wyoming Association of Conservation
Bradley M. Chapman,"Attitude Collections, LLC"
Brenda S. Nation,American Council of Life Insurers
Brent R. Kunz,Exxon Mobil Corporation
Bret A. Fox,"Brownstein Hyatt Farber Schreck, LLP"
Brett Moline,Wyoming Farm Bureau Federation
Bruce Burkland,Wyoming Youth Service Association
Bruce T. Moats,Wyoming Press Association
Byron O. Oedekoven,Wyoming Association Sheriffs & Chiefs
Carol A. Curtis,"AstraZeneca Pharmaceuticals, LP"
Carolyn Paseneaux,Wyo Liberty Group
Cathy J. Norris,BNSF Railway Company
Cathy J. Norris,Uplift
Cathy L. Gonzales,AARP
Chad D. Calvert,BP of America
Charlene M. Murdock,MDU Resources Group
Charles W. Custis,WREP
Charles Ware,"CPW Consulting, LLC"
Charlie Luke,School Improvement Network
Cheri Steinmetz,
Cheri Steinmetz,Fremont County School District #24
Cheryl A. Riley,Wyoming Power Producers Coalition
Cheryl L. Sorenson,Petroleum Association of Wyoming
Chestora I. Lee,Planned Parenthood of the Rocky Mountains
Chris E. Kelly,
Christopher Cox,National Rifle Association of America
Clint W. Ensign,The Sinclair Companies
Connie J. Glassman,
Connie J. Glassman,Wyoming Farm Bureau Federation
Cory L. Runion,Brotherhood Locomotive Engineers &
Cory N. Toye,Trout Unlimited
Cristina Colling,Equality State Policy Center
Crystal J. McDonough,Fish Creek Ranch Home Owners Association
Curt Lutz,Fremont County School District #24
Cynthia A. Pomeroy,Mtn. West Farm Bureau Ins.
Dale Groutage,Fremont County Solid Waste District
Dale W. Cottam,"Hirst Applegate, LLP / Pro Bono"
Dallas J. Scholes,Williams
Dan C. Johnson,Wyoming Fire Chiefs Association
Dan D. Stephan,WASA
Daniel B. Sullivan,Alliance of Automobile Manufacturers
Daniel H. Neal,Equality State Policy Center
Daniel J. Perdue,Wyoming Hospital Association
Darrin N. Lutz,
David C. Holt,Wyoming Education Association
David C. Picard,Alliance of Automobile Manufacturers
David D. Uchner,American Council of Life Insurers
Dean A. Heyl,Direct Selling Association
Deanna L. Frey,Wyoming Children's Action Alliance
Deborah K. Thomas,Powder River Basin Resource Council
Delette J. Olberg,Edison International
Dennis E. Elllis,Anadarko Petroleum Corporation
Dennis M. Hemmer,Wyoming Association of Conservation
Devon O'Connell,Wyoming Trial Lawyers Association
dgroutage@wyoming.com,Wyoming Farm Bureau Federation
Diana Stoick,Credit Union Association of Wyoming
Don C. Richards,University of Wyoming
Don Day,
Don Finley,"Frontier Refining, Inc."
Donald Brent Taylor,"Wyoming Trucking Association, Inc."
Donald C. Jackson,Tri County Tel Assoc. (TCT)
Donald N. Wills,
Doug Vickrey,Wyoming Weed & Pest Council
Douglas Gerard,
Dru Bower-Moore,Devon Energy
Dwayne B. Trembly,WREP
Earl Sanford Leighan,People First of Wyoming
Edith M. Ortega,CenturyLink
Elizabeth A. Brimmer,Chesapeake Energy
Elizabeth K. Davenport,
Eric S. Jones,WACE
Erik C. Rasmussen,City of Cheyenne
Erin L. Begeman,WY Assoc. of Mental Health & Substance
Erin N. Taylor,Wyoming Taxpayers Association
Eva Faith Havens,March of Dimes
Frank Smith,Liberty Blacksmith
Franklin L. Hileman,Keystone Automotive Industries/LKQ
Fred D. Searle,Marathon Oil Corporation
Gale A. Geringer,Century Link
Gari G. Gill,Wyoming Fire Chiefs Association
Gene G. Rugotzke,AAA Mountain West
George Bryan Ulmer,Wyoming Trial Lawyers Association
George G. Byers,Rare Element Resources
George S. Dibble Jr.,National Multiple Sclerosis Society ColoradoWyoming Chapter
Gerald Jim Wood,Wyoming Press Association
Greg Schaefer,"Arch Coal, Inc."
Gregg Crisp,
H.L. Jensen,W.C.T.A.
Hale M. Redding,Weston County Weed & Pest
Heidi L. Hopkins,The Humane Society of the United States
Hollis W. Hackman,Wyoming Psychological Association
Hollis W. Hackman,Wyoming Educational Association
James G. Holloway,United States Green Building Council Wyoming Chapter
James H. Magagna,Wyoming Stock Growers Association
James Hoover,"Bayer HealthCare, LLC"
James I. Maxfield,"Solvay Chemical, Inc."
James I. Maxfield,
James I. Maxfield,Matthew Shepard Foundation
Jan Drury,Wyoming Primary Care Association
Jana Howard Ginter,AARP
Janet L. Anderson,Wyoming Federation of Republican Women
Jason M. Tangeman,Wyoming Trial Lawyers Association
Jason P. Hendricks,"Advanced Communications Technology, Inc."
Jason S. Mincer,American Cancer Society Cancer Action
Jeff C. Wallace,Wyoming Bank & Trust
Jeff Kehl,Riverton Fire District
Jeff Woodhouse,Pharmaceutical Research and Manufacturers
Jeffrey M. Boldt,"Hirst Applegate, LLP / Pro Bono"
Jennifer Horvath,ACLU - WY
Jennifer Lamb,National Outdoor Leadership School
Jeran Artery,Wyoming Equality
Jill R. Morrison,Powder River Basin Resource Council
Jim Allen,
Jim Angell,Wyoming Press Association
Joe Corrigan,
Joe Fender,Federated Firefighters of Wyoming
John A. MacPherson,"Power Company of Wyoming, LLC"
John B. Romero,Wyoming State Hispanic Chamber of
John C. Dill,Chesapeake Energy Corporation
John C. Mason,People First of Wyoming
John C. Mckinley,Sublette County
John H. Black,AARP Wyoming
John P. McBride,Blue Cross Blue Shield of Wyoming
John T. Robitaille,Petroleum Association of Wyoming
Jon R. Said,Wyoming Ambulance & SMS Association
Jonathan Downing,Wyoming Contractors Association
Jonathan Downing,Verizon
Jonathan Downing,Credit Union Association of Wyoming
Joseph L. Lobert,WACE
Josh A. Shorb,Wyoming Weed & Pest Council
Josh A. Shorb,Wyoming Medical Center
Josh Phair,"Wal-Mart Stores, Inc."
Judy A. Kallal,Wyoming Geographic Alliance
Judy Catchpole,"Catchpole Enterprises, Inc."
Judy R. Horton,Wyoming All Breeds Racing Association
Julianne Cox,ABATE of Wyoming
Karen Lynn Hutchings,Right-to-Life (Wyoming)
Kari Cline,Wyoming association of Public Charter
Kate Wright,Wyoming Conservation Voters
Katharine K. Wilkinson,K and R Enterprises
Kay Watson,Fremont County School District #24
Keifer L. Partridge,WYWATCH Family Action
Kelly Gardner,Fremont County School District #24
Kendall Peacock,
Kenneth J. Vaughn,CAMECO Resources
Kevin F. Lind,Powder River Basin Resource Council
Kevin K. Doyle,
Kevin Smith,Fremont County School District #24
Kimberly J. Harper,National Association of Social Workers Wyoming
Kimberly K. Rogers,Wyoming Primary Care Association
Laura Jean Grott,Wyoming Association of Broadcasters
Laura T. Lewis,AFLAC
Laurie Urbigkit,RAI Services Company
Lawrence C. Anderson,
Lawrence J. Wolfe,Access to Justice
Lee Wagner,
Lindi L. Kirkbride,Regional Service Providers of WY
Lisa T. Hickey,Alpern Myers Stuart LLC
