Lobbyist,Client
Adam S. Peer,Nat'l Ass'n of Professional Employer
Adrianne Peterson,Wyo Weed & Pest Council
Altria Client Services Inc. and its Affiliates,
Amy J. Baucum,Wyo Assn. of Realtors
Andrew C. Emrich,
Ann E. Hendrickson,Black Hills Corporation
Anthony Raymond Bouchard,Wyoming Gun Owners Association
Ashley E. Roberts,Powder River Basin Resource Council
Ashley Vandeberghe,
Austin R. Nimocks,Alliance Defense Fund
Barbara Christensen-Boner,Novartis Pharmaceuticals Corp.
Barry G. Johnson,
Barry G. Johnson,Fremont County School District #24
Becky Vandeberghe,WyWatch Family Institute
Betty Iverson,Wyeth
Betty Jo Beardsley,Wyoming Public Employees Association
Bill D. McIlvain,Small Districts Coalition
Bill Gentle,Wyo Horse Council
Bill Gentle,Wyoming Wildlife Federation
Bill Schilling,Wyoming Business Alliance
Bill Stafford,Basin Electric Power Corporation
Bobbie K. Frank,Wyo Assoc of Conservation Districts
Bobbie K. Frank,Francis Livestock Co.
Bobby B. Sybert,Greater Yellowstone Coalition
Brad M. Enzi,North American Poner Group
Brad S. Miller,Focus on the Family Action
Bret A. Jones,George K. Baum & Co.
Brett Moline,Wyoming Farm Bureau Federation
Brian J. Hanify,Adminstaff
Brian P. Murphy,Wyoming Fire Service
Brianna L. Jones,
Britt Richelle Barnhart,People First of Wyoming
Bruce Burkland,Wyoming Youth Service Association
Bruce S. Asay,Union
Bruce T. Moats,Wyoming Press Association
Bryce R. Reece,Wyo Wool Growers Assn.
Budd Betts,Wyo Outfitters and Guides Assn.
Byron F. Oedekoven,Wyoming Assn. of Sheriffs & Chiefs of Police
Carolyn L. Herbertson,National Rifle Association
Carrie Herbertson,National Rifle Association of America
Cathy Norris,BNSF Railway
Chad D. Calvert,BP America
Charles E. Ware,Wyoming Liberty Group
Charles K. Gulley,
Charles W. Custis,WREP
Charlie Luke,School Improvement Network
Cheryl L. Sorenson,Petroleum Association of Wyoming
Christopher L. Chandler,"Prudential Financial, Inc."
Christpher Cox,National Rifle Association of America
Clair A. Schwan,Americans for Liberty and Limited
Clint W. Ensign,The Sinclair Corporation
Cynthia A. Pomeroy,"Mtn West Farm Bureau, Inc."
D. Sharon Fain,Black Hills Corporation
Dale G. Steenbergen,Greater Cheyenne Chamber of Commerce
Dale Groutage,Fremont County Solid Waste
Dale W. Cottam,AARP
Dan B. Sullivan,Alliance of Automobile Manufacturers
Dan J. Lex,Quality Health Care Foundation
Daniel H. Neal,Equality State Policy Center
Daniel H. Neal,American Council of Life Insurers
Daniel H. Neal,Federated Fire Fighters of WY
Daniel J. Perdue,WY Hospital Association
Daphne D. Ramey,WYWATCH
Darren LaSorte,National Rifle Association - ILA
Dave Johnson,Wyoming Association of Municipalities
David C. Picard,Alliance of Automobile Manufacturers
David D. Uchner,American Council of Life Insurers
David E. Nuss,National Fire Protection Association
David Friedberg,People First of Wyoming
David R. Hansen,People First of Wyoming
David R. Johnson,"Wyoming Bankers Association, Inc."
Deborah K. Thomas,Power River Basin Resource Council
Dee G. Garrison,Wyoming Association of Correctional
Dee G. Garrison,Wyoming Outdoor Council
Delissa L. Hayano,Bresnan Communications
Delores Jean Hayek,Wyoming Education Association
Derek T. Van Brunt,
Devon P. O'Connell,Wyoming Trial Lawyers Assn.
Devon P. O'Connell,WY Assisted Living Coalition
Diana Stoick,Credit Union Association of Wyoming
Diane E. Alexander,"AstraZeneca Pharmaceuticals, LP"
Don Finley,Frontier Refining Inc.
Don Huber,Wyoming Fire Service
Don Warfield,Wyoming School Psychology Association
Donald Brent Taylor,Wyoming Trucking Association
Donald C. Jackson,Tri County Telephone Assn. Inc.
Donald R. Morris,AARP
Donald T. Brosz,Wyoming Water Association
Donn L. Edmunds,Self
Douglas Gerard,
Dru Bower-Moore,Devon
"Dubois, WY",Farmers Union Service Assn.
Ed Olson,The Washington Center for Internships and
Ed R. Schwaesdall,Wyoming Fire Service
Edward S. Weppner,Wyoming Stock Growers Association
Edward S. Weppner,Wyoming Fire Chiefs
