Lobbyist,Client
Aaron Carr,Fremont County School District #24
Adam S. Peer,National Association of Professional Employer
Adam S. Peer,"SourceGas Distribution, LLC"
Ashley Vandeberghe,
Barbara Christensen-Boner,Novartis Pharmaceuticals
Becky Vandeberghe,WYWATCH
Benita T. McKerry,American Cancer Society
Beth A. Walker,
Betty Iverson,Wyeth
Betty Jo Beardsley,Wyoming Public Employees Association
Bill Gentle,Wyoming Horse Council
Bill McIlvain,Small District Coalition
Billy Montgomery,UTU
Bobbie K. Frank,WY Association Conservation District
Brad M. Enzi,North American Power Group
Brad Sarff,City of Rock Springs
Bradley J. Young,"Rx Plus Pharmacies, Inc."
Brenda J. Ilg,
Brent R. Kunz,Exxon Mobil Corporation
Brett R Moline,Wyoming Farm Bureau
Brian C. Shuck,Department of Health
Bruce Burkland,Wyoming Youth Service Association
Bryce R Reece,Wyo Assoc. of County Predatory Animal
Bryce R Reece,Trout Unlimited
Byron F. Oedekoven,Wyoming Association of Sherriffs and Chief
Capitol Corporate Services,McLeod USA
Carolyn L. Herbertson,National Rifle Association Institute for
Charlene A Smith,Prevent Child Abuse Wyoming
Charlene M Murdock,MDU Resources Grouop
Charles Ware,Wyoming Contractors Assn.
Cherri Lester,"Attention Homes, Inc."
Cheryl L. Sorenson,Petroleum Association of Wyoming
Chris Lepore,Johnson & Johnson
Chris Sherwin,American Heart Association
Christopher E. Sullivan,APS Healthcare
Chuck Custis,"WREP, WEA-Retired"
Clinton D. Beaver,Homeschoolers of Wyoming
Colleen K. McKinnon,Mountain West Farm Bureau
Colleen K. McKinnon,Sublette County
Cory Jackson,Tri County Telephone Association
Curt Collins,Fremont County School District #24
Curt Collins,Fremont County School District #24
Cynthia M. Laubacher,"Medco Health Solutions, Inc."
Dale G. Steenbergen,Greater Cheyenne Chamber of Commerce
Dan B. Sullivan,Alliance of Automobile Manufacturers
Daniel H. Neal,Equality State Policy Center
Daniel J. Perdue,Wyoming Hospital Association
Daphne Ramey,WYWATCH
Dave Johnson,Wyoming Association Municipalities
Dave Searle,Marathon Oil Company
David C. Picard,Alliance of Automobile Manufacturers
David D. Uchner,American Council of Life Insurers
David J. Bowles,
David R Johnson,Wyoming Bankers Assoc. Inc
Deanna Frey,Wyoming Children's Action Alliance
Deanna Frey,"Medco Health Solutions, Inc."
Debby K. Becker,Homeschoolers of Wyoming
Dennis E. Ellis,Wyoming Medical Society
Devon P. O'Connell,Wyoming Trial Lawyer's Assoc.
Donald C. Jackson,Tri County Telephone Association
Donald W. Warfield,Wyoming School Psychology Association
Dorothy E.Cronin,Brain Injury Association of Wyoming
Dru Bower Moore,Devon Energy
Dwayne B Trembly,Wyoming Retired Educational Personnel
Elizabeth Gallenagh,Healthcare Distribution Management
Ellen Merchant,People First of Wyoming
Erin N. Taylor,Wyoming Taxpayers Association
Frankie Addington,Self
G. Eugene Hardy,Hardy Ranch L.L.C.
Gail Hillebrand,"Consumers Union of U.S., Inc."
Gale A. Geringer,Craig and Susan Thomas Foundation
Gene Rugotzke,AAA Mountain West
George Garcia,People First of Wyoming
George H. Parks,Wyoming Association of Municipalities
Greg Schaefer,"Arch Coal, Inc."
Greta Morrow,
Grier W. Bailey,Wyoming Petroleum Marketers Association
H. L. Jensen,Wyoming Cable Telecommunications
H. L. Jensen,ACS
"H.L. ""Rusty"" Palmer",Wyoming Fire Chiefs Association
James H. Magagna,Wyoming Stock Growers Association
James Hoover,Bayer Corp. Pharm. Division
James I. Maxfield,Solvay Chemicals Inc.
James I. Maxfield,Metropolitan Planning Organization
James P. Hageman,Casper ReEntry Center
James P. Roberts,Embarq
James R. Purdy,American Quarter Horse Association
Jan Drury,American Heart Association
Janet Andrews,Wyoming Public Health Association
Janet L. Anderson,American Cancer Society
Janet L. Anderson,Christian Science Churches of Wyoming
Jason C. Marsden,WY Conservation Voters
Jason M Sanchez,Cheyenne Public Employees Association
Jason Mincer,Wyoming Education Association
Jay D. Poulignot,State Farm Insurance
Jay E Lyon,FMC Wyoming Corop
Jay Kelso,United Steelworkers
Jean Hayek,Wyoming Education Association
Jeff S. Kehl,Wyo. Firemens Association
Jessica K Grennan,American Heart Association
Jim Angell,Wyoming Press Association
Jim Feehan,"Pete Lien & Sons, Inc."
Jim Logan,Fremont County School District #24
Jim Logan,Powder River Basin Resource Council
Jodi L. Radke,Campaign for Tobacco-Free Kids
Joe Evans,Wyoming County Commissioner Assoc.
Joe Fender,Federated Fire Fighters of Wyoming
Joe Morelli,
Joe Morelli,People First of Wyoming
Joel Brannan,"Pete Lien & Sons, Inc."
John A. Francis,
John C. Patton,Wyoming Bankers Assoc. Inc.
John G. Andrikopoulos,Green River Valley Land Trust
Jon Beyer,Tri-State Generation and Transmission
Jon M. Narva,Federated Fire Fighters of Wy
Jonathan Downing,Wyoming Contractors Association
Jonathan R. Said,Wyoming Ambulance & EMS Assoc
Jonathan R. Said,BLET
Jordan B. Vana,Green River Valley Land Trust
Joseph C. Dougherty,American Cancer Society
Joshua Joel R Carnahan,Wyoming Associated Builders
Joshua Phair,"Wal-Mart Stores, Inc."
Judy Horton,Wyoming Horse Council
Judy S. Catchpole,Catchpole Enterprises Inc.
Junius Elmore Jr,WY Professional Towing Assoc
Kaitlin R. Erikson,
Kaitlin R. Erikson,The Nature Conservancy
Karen M Ellis,Embarq Corp
Kate M. Fox,"AT & T Services, Inc."
Katherine E Lynch,Trout Unlimited
Katherine E Lynch,HOW Home Schoolers of Wyoming
Kathleen Orton,Children's Resource Center
Kathy C Emmons,Black Hills Corporation
Kay Watson,Fremont County School District #24
Keith A. Kennedy,Wyoming Ag Business Association
Keith A. Kennedy,People First of Wyoming
Kelly Campbell,Property Casualty Insurers Association of
Kelly Campbell,Wy Medical Society
Kelly S. Davis,
Ken J. Trowbridge,AARP Wyoming
Kenton Brannan,"Pete Lien & Sons, Inc."
Kiimberly M. Amen,Father Factor
Kiimberly M. Amen,Wyoming Retired Educational Personnel
Kimberly A. Johnson,United Parcel Service (UPS)
Kirk A. Nicolarsen,UTU
Kirk A. Nicolarsen,People First of Wyoming
Kristina M. Delgado,Barlington Northern Santa Fe
L. Barton Peach,Property Casuatly Insurance Association of
Laurie D. Goodman,Landowners Assoc. of Wyoming
Laurie Urbigkit,Reynolds American
Lawrence C. Anderson,Wyo Association School Administrators
Leigh Anne Manlove,Wyoming State Bar Foundation
Linda D Burt,American Civil Liberties
Linda D Burt,Petro-Canada Resources (USA) Inc.
Linda Pryor,Pfizer Inc.
Lindsay A. Woznick,CT
Lindsey K. Taylor,American Cancer Society
Liz A. Brimmer,Medicine Bow Fuel & Power
Liz Zerga,3M
Loretta L. Humphrey,AARP Wyoming
Loretta L. Humphrey,City of Cheyenne
Loretta Wolf,Great West Division Am. Cancer Society
Loretta Wolf,Verizon Corporation
Lynn Birleffi,Americas Health Insurance Plans
Lynne Davies,Big Horn Basin Adolescent Program
Lynne Davies,National Electrical Contractors Assoc.
Marcia K Shanor,Wyoming Trial Lawyers Assoc.
Margaret Spearman,"BNSF Railway, Inc."
Marguerite A Herman,"American Cancer Society, Great West Division"
Marian J. Schulz,Association of Wyoming Insurance Agents
Marion Loomis,Wyo Mining Assoc
Mark Higdon,Wyoming School Boards Assn.
Mark O. Harris,Wyoming Coroners Association
Mark R. Larson,Wyoming Petroleum Marketers Association
Mark R. Stewart,Wyoming Bankers Association
Mark Stege,Black Hills Corporation
Mark W Harris,Wyoming Association of Municipalities
Marlin A. Walter,
Marsha M. Allen,Wyoming Automobile Dealers Association
Mary Ann Collins,"Jona, Inc."
Matt J. Lee,Riverton Fire Department
Matt J. Micheli,Bresnan Communications
Matt Kruse,Wyoming Education Association
Micahel S. Fox,RT Communications
Michael A. Moser,Association and Advocacy Group
Michael D. Harrold,Express Scripts
Michael D. Smith,Questar Corporation
Michael D. Smith,Fremont County School District #24
Michael K. Burd,USW
Michael S. Hill,DKRW Advanced Fuels LLC
Mike Hays,
Mike Mores,Farmers Insurance
Mitchell H. Edwards,"Anthony, Nicholas & Tageman, LLC"
Mona Lee Pearl,Wyoming Student Loan Corporation
Monte H. Morlock,USW
Nancy A. Olson,Cheyenne MPO
Nancy J. Burke,Credit Union Association of Wyoming
Nick J. Bettas,Chevron Mining Inc
Pamela Dewell,Jackson Hole Land Trust
Patrick R. Day,Exxon Mobil Corporation
Paul J. Hickey,"Source Gas Distribution, LLC"
Pete Lien,"Pete Lien & Sons, Inc."
Pete Lien,Qwest Communications
Peter F. Harty,"Medco Health Solutions, Inc."
Philip C. McMahill,Campbell County Memorial Hospital
Philip C. McMahill,Schering Corporation
Phillip F. Van Horn,Wyoming Student Loan Corporation
Phillip F. Van Horn,Wyoming Education Association
Phyllis J. Sherard,Cheyenne Regional Medical Center
Qwest,Wyoming Trucking Assn.
Randy A. Bolles,Devon Energy Corporation
Randy J. Vickers,Wyoming Fire Chiefs Assn
Renee D. Gamino,
Richard A. Leslie,Wyoming Epilepsy Assn.
Richard D. Turano,Allstate Insurance Company
Richard H. Miller,University of Wyoming
Richard M Garrett,Wyoming Conservation Voters
Richard M Hartman,Union Pacific Railroad
Richard T. Robitaille,Anadarko Petroleum Corporation
Richard T. Robitaille,Petroleum Association of Wyoming
Rick Schum,Blue Cross Blue Shield of Wyoming
Rita Campbell,Fremont County School District #24
Rob Wallace,General Electric
Robert A. Wharff,Wyoming Sportsmen for Fish & Wildlife
Robert D. Kuchera,Wyo Public Employees Association
Robert H. Leonard,WEPAC
Robert M. Tarantola,MDU Resources Group
Robert P. Adams,"Alliance for Marriage Foundation, Inc."
Roger A. Bredehoft,Wyoming Game Wardens Assn
Roger C. Fransen,"Source Gas Distribution, LLC"
