Lobbyist,Client
Thomas E. Adams,Wyoming Highway Patrol Assn.
Naomi L. Allen,AARP
Jim Andersen,Wyo Territorial Park
Carole S. Anderson,"The First Church of Christ, Scientist"
Lawrence Anderson,Wyoming School Support Services
James L. Angell,Wyoming Press Association
Lanny Applegate,WY Fire Chiefs
Marvin N. Applequist,Wyoming Farm Bureau Federation
Bess L. Arnold,AARP
Alfred A. Atkins,Wyoming School Support Services
Rodney Atkinson,
Larry T. Atwell,Greater Cheyenne Chamber of Comm
Barry W. Auerbach,
Larry G. Baesler,Wyoming Wildlife Federation
George W. Bagby,United Transportation Union
Robert L. Bailey,First American Title Ins. Co.
Andrew W. Baldwin,Northern Arapaho Business Council
Michele M. Barlow,Wyoming Outdoor Council
George A. Bartholomew,Wyoming Water Association
Shawn A. Bassham,March of Dimes
Charles R. Bates,
Betty Jo Beardsley,Wyoming Public Employees Assn.
Nick J. Bettas,The Pittsburgh & Midway Coal
Budd Betts,
Wendy H. Bilek,The Williams Companies
Lynn Birleffi,Wyoming Lodging & Resturant Assn.
John C. Bishop,Wyoming Pioneer Assn.
Raymond B. Bizal,NFPA
Stanley L. Blake,United Transportation Union
Carl H. Blank,Wyoming Public Health Assn.
Mike Blenkush,Powder River Energy Corp.
John M. Blewer,Wyoming Outdoor Council
Michael E. Bohl,
Kevin D. Bohnenblust,BlueCross BlueShield of Wyoming
Larry J. Bourret,Wyo. Farm Bureau Fed.
Dru Bower,Petroleum Association of Wyoming
William Braddock,Fremont County School District #24
Richard W. Bratton,Black Hills Corporation
Rosemary Bratton,Wyo. Coalition Against Domestic
Roger A. Bredehoft,Wyoming Game Wardens Assn.
Sharon S. Breitweiser,Wyoming NARAL
Renee M. Brower,Wyoming Society of CPA's
Michael R. Brown,
James W. Bunch,Black Hills Power
Thomas R. Burns,Sublette County School Dist. #1
Linda D. Burt,American Civil Liberties Union
George G. Byers,Rio Algom Mining Corp.
Rita Campbell,Fremont County School District #24
"William ""Bill"" G. Carpender",University of Wyoming Alumni Assn.
Jeffrey S. Carrier,Small School Coalition
Jack A. Carroccia,Wy. Chapter of Natn'l Assn.
Michael A. Ceballos,Qwest
Christopher L. Chambers,Chevron Texaco
Mary Lou Chapman,Rocky Mountain Feed Industry Assn.
Steve D. Chasson,MADD
Barbara A. Christensen-Boner,Novartis Pharmaceuticals
Larry J. Christensen,First American Title Insurance Co.
Chris Christenson,Wyoming Education Association
Margaret M. Christiansen,Dominion Ventures Group LLC
Teresa H. Cole,Wyoming Assn. of Conservation Dist.
David R. Conn,McLeodUSA Incorporated
Virginia T. Corwin,"Kraft Foods North America, Inc."
Donald E. Coovert,RAG American Coal Company
Becky Costantino,Wyoming Republican Party
William H. Courter,McLeodUSA Incorporated
Steve Cox,Wyoming Rural Development Council
Steven R. Cranfill,R.J. Reynolds Tobacco Company
Tim Crilly,BlueCross BlueShield of Wyoming
Dennis E. Curran,Cheyenne Board of Public Utilities
Wendy P. Curran,Wyo. Medical Society
Charles William Custis,AARP
Roberta M. Darnall,University of Wyoming Alumni Assn.
Alexander K.Davison,Wyoming Manufactured Housing Assn.
Gene R. Diedtrich,Wyoming Fire Chiefs Assn.
Regina D. Dodson,WCADVSA WY Coalition Against
John D. Dolan,Kinder Morgan Inc.
Yvonne F. Douglas,Utility Workers Union of America
Patricia A. Dowd,Equality State Policy Center
W. Perry Dray,National Association of Independent
Janice D. Drury,American Heart Association
Juanita I. Duncan,
Gregory C. Dyekman,Kennedy Western University
Judy Eastman,Wyoming Rural Electric Association
Lloyd Eckstein,IUPA
Nancy Forrest Eckstein,IUPA
BillieRuth Edwards,Wyoming League of Women Voters
William S. Eichler,City of Riverton
Kathy C. Emmons,Wyoming Children's Action Alliance
Todd F. Ennenga,Devon Energy
Clint W. Ensign,Sinclair
Michael B. Enzi,Black Hills Corporation
Joseph M. Evans,Wyoming County
Ronald L. Ewald,WPEA
Sami L. Falzone,Dakota Minnesota & Eastern Railroad
Jessie A. Farr,Fremont County School District #24
Vince J. Fate,Federated Firefighters of Wyoming
John M. Faunce,Wyoming State AFL-CIO
Susan Kay Flack,
Kim A. Floyd,Wyoming Wildlife Federation
Sheila D. Foertsch,"Wyoming Trucking Assn., Inc."
Bobbie K. Frank,Wy. Assn. of Conservation Districts
Roger C. Fransen,Qwest Corporation
Zane Fross,Fremont County School District #24
Donald N. Furman,PacifiCorp
Dee Garrison,I.U.P.A.
Melvin H. Gillispie,AARP
Paula E. Glover,Right to Life of Wyoming
