Lobbyist,Client
Lynn M Achter,AARP
A. F. (Tony) Gagliardi,
Adam Falk,"CSC Holdings, LLC"
Affie B. Ellis,APS Healthcare Bethesda Inc
Alysa Joy Moyer,
Alyssa M Tyer,
Amy C Womack,Womack Strategies Inc
Amy L Rathke,National Outdoor Leadership School (NOLS)
Andrew C Emrich,Holland & Hart LLP
Anthony Bouchard,Wyoming Gun Owners
Ashley M Vandeberghe,WyWatch
Becky Vandeberghe,WyWatch
Bethany F Heaney,Wyoming Association of Public Charter
Betty Jo Beardsley,Wyoming Public Employees Association
Bill Gentle,Wyoming Horse Council
Bill Gentle,Wyoming Bankers Association
Bill McIlvain,Small District Coalition
Bill Stafford,Basin Electric Cooperative
Bobbie K Frank,Wyoming Association of Conservation
Brenda Sue Nation,American Council of Life Insurers
Brent D Sherard,Wyoming Integrated Care Network
Brent R Kunz,American Heart Association
Brent Taylor,Wyo Trucking Assn.
Brett R Moline,Wyoming Farm bureau Federation
Bruce A. Hinchey,Petroleum Association of Wyoming
Bruce Burkland,Wyoming Youth Service Association
Bruce Burkland,RYO Machine Rental LLC
Bruce Burkland,Wyoming Chapter of the Appraisal Institute
Bruce Burkland,Community Entry Centers
Byron F Oedekoven,Wyoming Association of Sheriffs & Chiefs of
Caitlin L Grissom,
Carol A. Curtis,"AstraZeneca Pharmaceuticals, LP"
Carol A. Curtis,Blue Cross Blue Shield Wyoming
Carol A. Curtis,"ACS, A Xerox Company"
Carolyn Paseneaux,WY Health Care Association
Cathy L Gonzales,AARP
Charles W Custis,Wyoming Retired Education Personnel
Charlie Luke,Waterford Institute
Cheri Steinmetz,
Cheryl A Riley,
Cheryl T. Sorenson,Petroleum Association of Wyoming
Chestore I Lee,Planned Parenthood of Wyoming
Chris M Brown,WAGAN
Christian John Rataj,National Association of Mutual Insurance
Christopher Cox,National Rifle Association of America
Christopher M Dziadosz,United Steelworkers
Cindy DeLancey,Wyoming County Commissioners Association
Clark A Fairbanks,Wyoming Youth Service Association
Clint W. Ensign,The Sinclair Companies
Cody L Runion,Brotherhood of Locomotive Engineers &
Cody M Whitmore,
Connie J Glassman,Wyoming Public Employees Association
Connie J Wilbert,Sierra Club
Craig Steinley,Wyoming & Western SD Chapter of the
Curtis Lutz,Fremont County School District #24
Cynthia A Pomeroy,CP Consulting Inc
Dale W Cottam,AARP
Dallas J Scholes,Williams
Dana A Welch,Clear Capital
Daniel B. Sullivan,Alliance of Automobile Manufacturers
Daniel H Neal,Equality State Policy Center
Daniel J Perdue,Wyoming Hospital Association
Darren Rudloff,Visit Cheyenne
Dave Holt,Wyoming Education Association
Dave Johnson,Wyoming Association of Municipalities
David C. Picard,Alliance of Automobile Manufacturers
David D Uchner,American Council of Life Insurers
David F Evans,Federated Fire Fighters of Wyoming
