Lobbyist,Client
Thomas E. Adams,Wyoming Highway Patrol Assoc.
Susan C. Aholt,Independent
Naomi L. Allen,AARP
Jim D. Andersen,Wyoming Territorial Park
Carole S. Anderson,315 West Sunset Drive
Carrie Anderson,WYOKIDS
Lawrence C. Anderson,"Cheyenne, WY"
James L. Angell,Wyoming Press Assn.
Lanny Applegate,WY Fire Chief's Assn.
Bess L. Arnold,AARP
Arnold L. Arrington,Midvate Irrigation District
Bruce S. Asay,"Range Telephone Co, RT Com"
Alfred A. Atkins,Wyo School Boards Assn.
Rodney Atkinson,Cheyenne Teachers Ed. Assn.
Richard D. Avey,Wyoming Game Wardens Assoc.
George W. Bagby,United Transportation Union
Robert L. Bailey,First Am. Title Ins. Co.
Andrew W. Baldwin,Northern Arapaho Tribe
Melvin R. Baldwin,Uinta County School District #1
Michele M. Barlow,Wyoming Outdoor Council
George A. Bartholomew,Wyoming Water Assn.
Charles R. Bates,A.F.L.
Vince Bath,Wyoming Territorial Park
Betty Jo Beardsley,Wyoming Public Employees Assn.
Craig H. Beck,Fremont Co. School Dist. #25
Vaughn W. Behrmann,
Ruth V. Bell,
Cliff W. (Buc) Bergin,Wyoming Gun Owners Association
Nick J. Bettas,The Pittsburgh & Midway
Steve A. Bieringer,American Diabetes Assn.
Wendy H. Bilek,Williams Companies
William J. Birkett,Wyoming Chapter NECA
Lynn L. Birleffi,WY Lodging & Resturant Assoc.
David H. Birney,2526 Seymour Avenue
John C. Bishop,Wyoming Pioneer Association
Stan L. Blake,United Transportation Union
Carl H. Blank,Wyoming Public Health Assn.
Marshall Trent Blankenship,Carbon County School Dist. #7
Jerry Blann,Jackson Hole Mountain Resort
Mike Blenkush,Powder River Energy Corporation
John (Mac) M. Blewer,Wyoming Outdoor Council
David A. Block,Wyoming Youth Services Assn.
Michael E. Bohl,Wyoming Bank & Trust
Kevin D. Bohnenblust,Blue Cross Blue Shield of Wyoming
Tim J. Bolin,Cheyenne Teachers Education Assn.
Michael R. Bond,
Brad E. Boner,Independent
Larry J. Bourret,Mountain West Farm Bureau
Dru D. Bower,Petroleum Assn. of WY
Helen Boyd,
Harold A. Bovee,Wyoming Education Assn.
Rosemary Bratton,"Address, City, State, Zip"
Roger A. Bredehoft,Wyoming Game Wardens Assn.
Nathan D. Breen,LCSD #1
Sharon S. Breitweiser,Wyoming NARAL
